league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2012-08-17,Olhanense,Estoril,2.0,1.0,H,1.0,1.0,D,2.5,3.0,3.0,,4.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2012-08-18,Benfica,Sp Braga,2.0,2.0,D,0.0,0.0,D,1.73,3.6,4.75,,5.0,D,1.0,1.0,0.0,4.0,D,0.0,0.0
P1,2012-08-18,Rio Ave,Maritimo,0.0,1.0,A,0.0,0.0,D,2.9,3.1,2.5,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2012-08-19,Gil Vicente,Porto,0.0,0.0,D,0.0,0.0,D,9.0,4.5,1.36,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2012-08-19,Guimaraes,Sp Lisbon,0.0,0.0,D,0.0,0.0,D,3.6,3.2,2.1,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2012-08-19,Nacional,Setubal,2.0,2.0,D,0.0,0.0,D,1.75,3.4,5.0,,6.0,D,1.0,1.0,0.0,4.0,D,0.0,0.0
P1,2012-08-19,Pacos Ferreira,Moreirense,1.0,1.0,D,1.0,0.0,H,2.1,3.2,3.6,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2012-08-20,Beira Mar,Academica,3.0,3.0,D,2.0,0.0,H,2.5,3.0,3.0,,0.0,D,1.0,1.0,0.0,6.0,H,2.0,2.0
P1,2012-08-24,Academica,Olhanense,1.0,1.0,D,0.0,0.0,D,2.0,3.4,3.6,,4.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2012-08-25,Porto,Guimaraes,4.0,0.0,H,1.0,0.0,H,1.25,5.5,12.0,,5.0,H,3.0,0.0,4.0,4.0,H,1.0,1.0
P1,2012-08-25,Sp Braga,Beira Mar,3.0,1.0,H,2.0,0.0,H,1.4,4.0,9.5,,5.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0
