league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2015-08-14,Tondela,Sp Lisbon,1.0,2.0,A,0.0,1.0,A,13.0,5.25,1.25,,4.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2015-08-15,Belenenses,Rio Ave,3.0,3.0,D,1.0,1.0,D,2.45,3.1,3.0,,5.0,D,1.0,1.0,0.0,6.0,D,0.0,2.0
P1,2015-08-15,Porto,Guimaraes,3.0,0.0,H,1.0,0.0,H,1.18,6.5,15.0,,5.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0
P1,2015-08-16,Benfica,Estoril,4.0,0.0,H,0.0,0.0,D,1.3,5.5,9.0,,6.0,H,3.0,0.0,4.0,4.0,D,0.0,0.0
P1,2015-08-16,Moreirense,Arouca,0.0,2.0,A,0.0,0.0,D,2.2,3.2,3.4,,6.0,A,0.0,3.0,-2.0,2.0,D,0.0,0.0
P1,2015-08-16,Setubal,Boavista,2.0,2.0,D,2.0,0.0,H,2.25,3.2,3.25,,6.0,D,1.0,1.0,0.0,4.0,H,2.0,2.0
P1,2015-08-16,Sp Braga,Nacional,2.0,1.0,H,1.0,1.0,D,1.73,3.5,5.0,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2015-08-16,Uniao Madeira,Maritimo,2.0,1.0,H,1.0,0.0,H,2.8,3.25,2.5,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0
P1,2015-08-17,Pacos Ferreira,Academica,1.0,0.0,H,1.0,0.0,H,1.8,3.3,4.75,,0.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2015-08-21,Rio Ave,Sp Braga,1.0,0.0,H,1.0,0.0,H,3.25,3.2,2.25,,4.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2015-08-22,Maritimo,Porto,1.0,1.0,D,1.0,1.0,D,9.0,4.5,1.36,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2015-08-22,Sp Lisbon,Pacos Ferreira,1.0,1.0,D,1.0,0.0,H,1.33,5.0,9.0,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2015-08-23,Arouca,Benfica,1.0,0.0,H,1.0,0.0,H,10.0,4.75,1.33,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2015-08-23,Boavista,Tondela,1.0,0.0,H,0.0,0.0,D,1.95,3.3,4.0,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2015-08-23,Estoril,Moreirense,2.0,0.0,H,0.0,0.0,D,1.7,3.5,5.25,,6.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2015-08-23,Guimaraes,Belenenses,1.0,1.0,D,1.0,0.0,H,1.85,3.3,4.5,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2015-08-23,Nacional,Uniao Madeira,1.0,0.0,H,1.0,0.0,H,1.8,3.4,4.75,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
