league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2014-08-15,Porto,Maritimo,2.0,0.0,H,1.0,0.0,H,1.17,6.5,17.0,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-08-16,Academica,Sp Lisbon,1.0,1.0,D,0.0,1.0,A,4.75,3.6,1.73,,5.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2014-08-16,Gil Vicente,Guimaraes,1.0,3.0,A,0.0,1.0,A,2.75,3.2,2.6,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,1.0
P1,2014-08-17,Benfica,Pacos Ferreira,2.0,0.0,H,1.0,0.0,H,1.25,5.5,12.0,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-08-17,Nacional,Moreirense,0.0,1.0,A,0.0,0.0,D,2.0,3.5,3.6,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2014-08-17,Penafiel,Belenenses,1.0,3.0,A,1.0,1.0,D,2.2,3.2,3.4,,6.0,A,0.0,3.0,-2.0,4.0,D,0.0,2.0
P1,2014-08-17,Rio Ave,Setubal,2.0,0.0,H,0.0,0.0,D,2.0,3.3,3.75,,6.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2014-08-17,Sp Braga,Boavista,3.0,0.0,H,1.0,0.0,H,1.33,5.0,9.0,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0
P1,2014-08-18,Arouca,Estoril,1.0,1.0,D,1.0,1.0,D,3.4,3.2,2.2,,0.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2014-08-22,Guimaraes,Penafiel,3.0,0.0,H,1.0,0.0,H,1.65,3.6,5.5,,4.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0
P1,2014-08-23,Maritimo,Academica,2.0,1.0,H,0.0,0.0,D,2.25,3.1,3.4,,5.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0
P1,2014-08-23,Pacos Ferreira,Porto,0.0,1.0,A,0.0,1.0,A,8.5,4.33,1.4,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2014-08-23,Sp Lisbon,Arouca,1.0,0.0,H,0.0,0.0,D,1.33,4.75,9.5,,5.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-08-24,Belenenses,Nacional,3.0,1.0,H,2.0,0.0,H,2.6,3.2,2.7,,6.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0
P1,2014-08-24,Boavista,Benfica,0.0,1.0,A,0.0,1.0,A,15.0,6.0,1.2,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2014-08-24,Estoril,Rio Ave,1.0,5.0,A,0.0,2.0,A,1.91,3.4,4.0,,6.0,A,0.0,3.0,-4.0,6.0,A,-2.0,2.0
P1,2014-08-24,Setubal,Gil Vicente,2.0,0.0,H,1.0,0.0,H,2.2,3.2,3.4,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-08-25,Moreirense,Sp Braga,0.0,0.0,D,0.0,0.0,D,4.75,3.4,1.8,,0.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-08-29,Academica,Setubal,1.0,1.0,D,1.0,1.0,D,2.3,3.1,3.25,,4.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2014-08-30,Belenenses,Guimaraes,0.0,3.0,A,0.0,2.0,A,2.55,3.1,2.88,,5.0,A,0.0,3.0,-3.0,3.0,A,-2.0,2.0
P1,2014-08-30,Sp Braga,Estoril,2.0,1.0,H,1.0,0.0,H,1.85,3.4,4.33,,5.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0
P1,2014-08-31,Benfica,Sp Lisbon,1.0,1.0,D,1.0,1.0,D,1.8,3.5,4.5,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2014-08-31,Gil Vicente,Maritimo,1.0,2.0,A,1.0,0.0,H,2.7,3.2,2.6,,6.0,A,0.0,3.0,-1.0,3.0,H,1.0,1.0
P1,2014-08-31,Nacional,Arouca,2.0,0.0,H,1.0,0.0,H,1.8,3.5,4.5,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-08-31,Penafiel,Pacos Ferreira,0.0,1.0,A,0.0,0.0,D,2.8,3.3,2.45,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2014-08-31,Porto,Moreirense,3.0,0.0,H,0.0,0.0,D,1.14,7.5,19.0,,6.0,H,3.0,0.0,3.0,3.0,D,0.0,0.0
P1,2014-09-01,Rio Ave,Boavista,4.0,0.0,H,2.0,0.0,H,1.53,3.75,7.0,,0.0,H,3.0,0.0,4.0,4.0,H,2.0,2.0
P1,2014-09-12,Setubal,Benfica,0.0,5.0,A,0.0,3.0,A,7.0,4.0,1.5,,4.0,A,0.0,3.0,-5.0,5.0,A,-3.0,3.0
P1,2014-09-13,Arouca,Sp Braga,1.0,0.0,H,1.0,0.0,H,3.8,3.3,2.0,,5.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2014-09-13,Moreirense,Rio Ave,1.0,1.0,D,0.0,1.0,A,2.6,3.2,2.75,,5.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2014-09-13,Sp Lisbon,Belenenses,1.0,1.0,D,1.0,1.0,D,1.36,4.5,9.0,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2014-09-14,Boavista,Academica,1.0,0.0,H,0.0,0.0,D,2.88,3.3,2.4,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-09-14,Estoril,Nacional,2.0,1.0,H,1.0,0.0,H,2.1,3.3,3.5,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0
P1,2014-09-14,Guimaraes,Porto,1.0,1.0,D,0.0,0.0,D,6.5,3.8,1.55,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-09-14,Maritimo,Penafiel,2.0,0.0,H,0.0,0.0,D,1.67,3.6,5.25,,6.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2014-09-14,Pacos Ferreira,Gil Vicente,1.0,1.0,D,1.0,0.0,H,1.8,3.3,4.75,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2014-09-19,Guimaraes,Pacos Ferreira,1.0,1.0,D,0.0,1.0,A,1.95,3.25,4.2,,4.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2014-09-20,Nacional,Sp Braga,1.0,1.0,D,0.0,0.0,D,2.88,3.2,2.5,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-09-20,Penafiel,Setubal,2.0,0.0,H,1.0,0.0,H,2.63,3.2,2.7,,5.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-09-21,Belenenses,Maritimo,1.0,0.0,H,0.0,0.0,D,2.5,3.3,2.8,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-09-21,Benfica,Moreirense,3.0,1.0,H,0.0,1.0,A,1.2,6.0,15.0,,6.0,H,3.0,0.0,2.0,4.0,A,-1.0,1.0
P1,2014-09-21,Gil Vicente,Sp Lisbon,0.0,4.0,A,0.0,2.0,A,7.0,3.9,1.5,,6.0,A,0.0,3.0,-4.0,4.0,A,-2.0,2.0
P1,2014-09-21,Porto,Boavista,0.0,0.0,D,0.0,0.0,D,1.14,7.5,17.0,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-09-21,Rio Ave,Arouca,1.0,2.0,A,0.0,1.0,A,1.7,3.5,5.25,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2014-09-22,Academica,Estoril,2.0,2.0,D,2.0,1.0,H,2.75,3.3,2.5,,0.0,D,1.0,1.0,0.0,4.0,H,1.0,3.0
P1,2014-09-26,Sp Lisbon,Porto,1.0,1.0,D,1.0,0.0,H,3.1,3.1,2.4,,4.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2014-09-27,Estoril,Benfica,2.0,3.0,A,1.0,2.0,A,5.0,3.6,1.7,,5.0,A,0.0,3.0,-1.0,5.0,A,-1.0,3.0
P1,2014-09-27,Sp Braga,Rio Ave,3.0,0.0,H,0.0,0.0,D,1.73,3.5,5.0,,5.0,H,3.0,0.0,3.0,3.0,D,0.0,0.0
P1,2014-09-28,Arouca,Academica,0.0,1.0,A,0.0,1.0,A,2.25,3.25,3.2,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2014-09-28,Boavista,Gil Vicente,3.0,2.0,H,1.0,1.0,D,2.5,3.25,2.8,,6.0,H,3.0,0.0,1.0,5.0,D,0.0,2.0
P1,2014-09-28,Maritimo,Guimaraes,4.0,0.0,H,4.0,0.0,H,2.4,3.25,2.9,,6.0,H,3.0,0.0,4.0,4.0,H,4.0,4.0
P1,2014-09-28,Moreirense,Penafiel,0.0,0.0,D,0.0,0.0,D,1.83,3.5,4.33,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-09-28,Setubal,Nacional,2.0,0.0,H,2.0,0.0,H,2.6,3.2,2.7,,6.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0
P1,2014-09-29,Pacos Ferreira,Belenenses,2.0,0.0,H,1.0,0.0,H,2.05,3.3,3.6,,0.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-10-03,Guimaraes,Boavista,3.0,0.0,H,1.0,0.0,H,1.62,3.6,6.0,,4.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0
P1,2014-10-04,Penafiel,Sp Lisbon,0.0,4.0,A,0.0,0.0,D,8.0,4.0,1.44,,5.0,A,0.0,3.0,-4.0,4.0,D,0.0,0.0
P1,2014-10-05,Academica,Moreirense,0.0,0.0,D,0.0,0.0,D,2.38,3.1,3.1,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-10-05,Belenenses,Setubal,1.0,1.0,D,0.0,1.0,A,2.2,3.1,3.5,,6.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2014-10-05,Benfica,Arouca,4.0,0.0,H,0.0,0.0,D,1.2,6.5,13.0,,6.0,H,3.0,0.0,4.0,4.0,D,0.0,0.0
P1,2014-10-05,Gil Vicente,Estoril,1.0,1.0,D,1.0,1.0,D,3.8,3.3,2.0,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2014-10-05,Nacional,Rio Ave,0.0,0.0,D,0.0,0.0,D,2.05,3.3,3.6,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-10-05,Pacos Ferreira,Maritimo,3.0,2.0,H,0.0,1.0,A,2.25,3.1,3.4,,6.0,H,3.0,0.0,1.0,5.0,A,-1.0,1.0
P1,2014-10-05,Porto,Sp Braga,2.0,1.0,H,1.0,1.0,D,1.44,4.0,8.0,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2014-10-24,Setubal,Guimaraes,0.0,1.0,A,0.0,0.0,D,2.75,3.3,2.5,,4.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2014-10-25,Arouca,Porto,0.0,5.0,A,0.0,3.0,A,8.5,4.75,1.36,,5.0,A,0.0,3.0,-5.0,5.0,A,-3.0,3.0
P1,2014-10-25,Boavista,Pacos Ferreira,1.0,2.0,A,0.0,1.0,A,3.5,3.2,2.15,,5.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2014-10-25,Moreirense,Gil Vicente,2.0,0.0,H,0.0,0.0,D,1.91,3.25,4.33,,5.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2014-10-26,Estoril,Belenenses,1.0,2.0,A,0.0,1.0,A,1.75,3.4,5.0,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2014-10-26,Nacional,Academica,1.0,0.0,H,0.0,0.0,D,1.85,3.4,4.33,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-10-26,Sp Braga,Benfica,2.0,1.0,H,1.0,1.0,D,4.33,3.6,1.8,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2014-10-26,Sp Lisbon,Maritimo,4.0,2.0,H,3.0,0.0,H,1.44,4.33,7.0,,6.0,H,3.0,0.0,2.0,6.0,H,3.0,3.0
P1,2014-10-27,Rio Ave,Penafiel,3.0,2.0,H,2.0,1.0,H,1.73,3.4,5.25,,0.0,H,3.0,0.0,1.0,5.0,H,1.0,3.0
P1,2014-10-31,Benfica,Rio Ave,1.0,0.0,H,0.0,0.0,D,1.33,4.5,11.0,,4.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-11-01,Guimaraes,Sp Lisbon,3.0,0.0,H,2.0,0.0,H,4.0,3.4,1.91,,5.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0
P1,2014-11-01,Penafiel,Estoril,1.0,2.0,A,0.0,1.0,A,4.5,3.4,1.83,,5.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2014-11-01,Porto,Nacional,2.0,0.0,H,1.0,0.0,H,1.25,5.25,13.0,,5.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-11-02,Academica,Sp Braga,1.0,1.0,D,0.0,0.0,D,3.75,3.3,2.0,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-11-02,Gil Vicente,Arouca,1.0,1.0,D,0.0,0.0,D,2.45,3.25,2.9,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-11-02,Maritimo,Moreirense,1.0,2.0,A,0.0,1.0,A,2.0,3.4,3.75,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2014-11-02,Pacos Ferreira,Setubal,4.0,1.0,H,0.0,0.0,D,1.85,3.4,4.33,,6.0,H,3.0,0.0,3.0,5.0,D,0.0,0.0
P1,2014-11-03,Belenenses,Boavista,3.0,1.0,H,3.0,1.0,H,1.8,3.5,4.5,,0.0,H,3.0,0.0,2.0,4.0,H,2.0,4.0
P1,2014-11-07,Arouca,Guimaraes,1.0,2.0,A,0.0,0.0,D,3.0,3.25,2.38,,4.0,A,0.0,3.0,-1.0,3.0,D,0.0,0.0
P1,2014-11-08,Sp Braga,Gil Vicente,2.0,0.0,H,0.0,0.0,D,1.4,4.33,8.5,,5.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2014-11-09,Boavista,Penafiel,1.0,0.0,H,0.0,0.0,D,2.5,3.0,3.0,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2014-11-09,Estoril,Porto,2.0,2.0,D,1.0,1.0,D,7.5,4.2,1.44,,6.0,D,1.0,1.0,0.0,4.0,D,0.0,2.0
P1,2014-11-09,Moreirense,Belenenses,0.0,1.0,A,0.0,0.0,D,2.25,3.1,3.4,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2014-11-09,Nacional,Benfica,1.0,2.0,A,1.0,2.0,A,5.5,3.75,1.62,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,3.0
P1,2014-11-09,Setubal,Maritimo,1.0,0.0,H,1.0,0.0,H,2.9,3.25,2.4,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2014-11-09,Sp Lisbon,Pacos Ferreira,1.0,1.0,D,0.0,1.0,A,1.5,4.0,7.0,,6.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2014-11-10,Rio Ave,Academica,3.0,0.0,H,2.0,0.0,H,1.8,3.5,4.5,,0.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0
P1,2014-11-28,Guimaraes,Moreirense,2.0,1.0,H,1.0,1.0,D,1.83,3.4,4.5,,4.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2014-11-29,Belenenses,Arouca,0.0,0.0,D,0.0,0.0,D,2.05,3.2,3.8,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-11-29,Penafiel,Sp Braga,1.0,6.0,A,1.0,2.0,A,6.5,3.5,1.62,,5.0,A,0.0,3.0,-5.0,7.0,A,-1.0,3.0
P1,2014-11-29,Sp Lisbon,Setubal,3.0,0.0,H,0.0,0.0,D,1.2,5.75,17.0,,5.0,H,3.0,0.0,3.0,3.0,D,0.0,0.0
P1,2014-11-30,Academica,Benfica,0.0,2.0,A,0.0,2.0,A,8.0,4.0,1.44,,6.0,A,0.0,3.0,-2.0,2.0,A,-2.0,2.0
P1,2014-11-30,Gil Vicente,Nacional,0.0,0.0,D,0.0,0.0,D,3.4,3.1,2.25,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-11-30,Maritimo,Boavista,4.0,0.0,H,1.0,0.0,H,1.57,3.75,6.0,,6.0,H,3.0,0.0,4.0,4.0,H,1.0,1.0
P1,2014-11-30,Porto,Rio Ave,5.0,0.0,H,0.0,0.0,D,1.25,5.5,12.0,,6.0,H,3.0,0.0,5.0,5.0,D,0.0,0.0
P1,2014-12-01,Pacos Ferreira,Estoril,1.0,1.0,D,0.0,0.0,D,2.25,3.25,3.2,,0.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-12-05,Boavista,Sp Lisbon,1.0,3.0,A,0.0,0.0,D,13.0,6.0,1.22,,4.0,A,0.0,3.0,-2.0,4.0,D,0.0,0.0
P1,2014-12-06,Academica,Porto,0.0,3.0,A,0.0,2.0,A,10.0,5.25,1.29,,5.0,A,0.0,3.0,-3.0,3.0,A,-2.0,2.0
P1,2014-12-06,Benfica,Belenenses,3.0,0.0,H,0.0,0.0,D,1.25,5.5,12.0,,5.0,H,3.0,0.0,3.0,3.0,D,0.0,0.0
P1,2014-12-06,Estoril,Setubal,1.0,0.0,H,1.0,0.0,H,1.62,3.75,5.5,,5.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2014-12-06,Rio Ave,Gil Vicente,0.0,0.0,D,0.0,0.0,D,1.57,3.6,6.5,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-12-07,Arouca,Penafiel,0.0,1.0,A,0.0,1.0,A,1.83,3.5,4.33,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2014-12-07,Moreirense,Pacos Ferreira,2.0,0.0,H,1.0,0.0,H,2.75,3.1,2.63,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2014-12-07,Sp Braga,Guimaraes,0.0,0.0,D,0.0,0.0,D,1.75,3.5,4.75,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-12-08,Nacional,Maritimo,3.0,0.0,H,0.0,0.0,D,2.4,3.2,3.0,,0.0,H,3.0,0.0,3.0,3.0,D,0.0,0.0
P1,2014-12-12,Setubal,Boavista,0.0,1.0,A,0.0,0.0,D,1.85,3.5,4.2,,4.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2014-12-13,Belenenses,Sp Braga,0.0,1.0,A,0.0,1.0,A,4.0,3.4,1.91,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2014-12-13,Gil Vicente,Academica,1.0,1.0,D,0.0,0.0,D,2.55,3.25,2.75,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2014-12-13,Pacos Ferreira,Arouca,2.0,1.0,H,0.0,1.0,A,1.73,3.6,4.75,,5.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0
P1,2014-12-13,Penafiel,Nacional,2.0,1.0,H,1.0,0.0,H,3.6,3.3,2.05,,5.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0
P1,2014-12-14,Guimaraes,Rio Ave,0.0,0.0,D,0.0,0.0,D,2.1,3.25,3.6,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-12-14,Maritimo,Estoril,0.0,0.0,D,0.0,0.0,D,2.45,3.2,2.88,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2014-12-14,Porto,Benfica,0.0,2.0,A,0.0,1.0,A,1.83,3.6,4.2,,6.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0
P1,2014-12-14,Sp Lisbon,Moreirense,1.0,1.0,D,0.0,1.0,A,1.3,5.0,11.0,,6.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
