league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2024-08-09,20:15,Sp Lisbon,Rio Ave,3,1,H,2,0,H,23,3,6,1,6,1,9,14,2,2,0,0,20,4,H,3,0,2,4,H,2,2,20,20
P1,2024-08-10,15:30,AVS,Nacional,1,1,D,0,1,A,17,6,3,2,4,2,8,13,1,1,0,0,15,5,D,1,1,0,2,A,-1,1,10,10
P1,2024-08-10,18:00,Casa Pia,Boavista,0,1,A,0,0,D,15,5,4,2,3,1,12,6,2,1,0,0,18,5,A,0,3,-1,1,D,0,0,20,10
P1,2024-08-10,20:30,Porto,Gil Vicente,3,0,H,1,0,H,16,3,7,2,6,2,18,10,0,3,0,1,20,5,H,3,0,3,3,H,1,1,0,55
P1,2024-08-11,15:30,Estoril,Santa Clara,1,4,A,1,1,D,4,9,2,8,1,3,11,20,6,3,0,0,15,6,A,0,3,-3,5,D,0,2,60,30
P1,2024-08-11,18:00,Famalicao,Benfica,2,0,H,1,0,H,9,10,5,1,0,7,8,13,3,4,0,0,18,6,H,3,0,2,2,H,1,1,30,40
P1,2024-08-11,18:00,Farense,Moreirense,1,2,A,0,1,A,10,10,5,6,5,4,14,11,0,4,0,1,18,6,A,0,3,-1,3,A,-1,1,0,65
P1,2024-08-11,20:30,Sp Braga,Estrela,1,1,D,0,0,D,13,6,5,4,13,4,14,9,3,5,0,0,20,6,D,1,1,0,2,D,0,0,30,50
P1,2024-08-12,20:15,Arouca,Guimaraes,0,1,A,0,1,A,8,11,0,4,6,5,13,11,7,2,1,0,20,0,A,0,3,-1,1,A,-1,1,95,20
P1,2024-08-16,17:00,Santa Clara,Porto,0,2,A,0,2,A,5,8,2,6,2,2,19,12,2,3,1,0,17,4,A,0,3,-2,2,A,-2,2,45,30
P1,2024-08-16,20:15,Gil Vicente,AVS,4,2,H,2,2,D,16,10,6,5,2,3,6,12,1,4,0,1,20,4,H,3,0,2,6,D,0,4,10,65
P1,2024-08-17,15:30,Rio Ave,Farense,1,0,H,1,0,H,9,14,3,4,7,14,8,16,0,1,0,0,15,5,H,3,0,1,1,H,1,1,0,10
P1,2024-08-17,18:00,Nacional,Sp Lisbon,1,6,A,1,2,A,12,20,6,10,4,3,9,10,1,1,0,0,18,5,A,0,3,-5,7,A,-1,3,10,10
P1,2024-08-17,20:30,Benfica,Casa Pia,3,0,H,0,0,D,26,5,7,1,12,2,6,14,0,1,0,0,20,5,H,3,0,3,3,D,0,0,0,10
P1,2024-08-18,15:30,Moreirense,Arouca,3,1,H,2,1,H,14,15,6,3,7,5,14,12,1,2,0,0,15,6,H,3,0,2,4,H,1,3,10,20
P1,2024-08-18,18:00,Guimaraes,Estoril,1,0,H,1,0,H,14,3,5,1,9,3,15,17,2,1,0,0,18,6,H,3,0,1,1,H,1,1,20,10
