league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2010-08-13,Sp Braga,Portimonense,3,1,H,2,0,H,1.36,4.5,9.0,,4,H,3,0,2,4,H,2,2
P1,2010-08-14,Maritimo,Setubal,0,1,A,0,0,D,1.7,3.5,5.25,,5,A,0,3,-1,1,D,0,0
P1,2010-08-14,Naval,Porto,0,1,A,0,0,D,9.0,4.5,1.36,,5,A,0,3,-1,1,D,0,0
P1,2010-08-14,Pacos Ferreira,Sp Lisbon,1,0,H,0,0,D,4.75,3.4,1.8,,5,H,3,0,1,1,D,0,0
P1,2010-08-15,Beira Mar,Leiria,0,0,D,0,0,D,2.5,3.0,3.0,,6,D,1,1,0,0,D,0,0
P1,2010-08-15,Benfica,Academica,1,2,A,0,1,A,1.18,6.5,17.0,,6,A,0,3,-1,3,A,-1,1
P1,2010-08-15,Rio Ave,Nacional,0,1,A,0,0,D,2.63,3.0,2.88,,6,A,0,3,-1,1,D,0,0
P1,2010-08-16,Olhanense,Guimaraes,0,0,D,0,0,D,3.0,3.0,2.5,,0,D,1,1,0,0,D,0,0
P1,2010-08-20,Academica,Olhanense,1,1,D,0,0,D,1.95,3.3,4.0,,4,D,1,1,0,2,D,0,0
P1,2010-08-21,Nacional,Benfica,2,1,H,0,0,D,6.0,3.5,1.62,,5,H,3,0,1,3,D,0,0
P1,2010-08-21,Setubal,Sp Braga,0,0,D,0,0,D,5.25,3.4,1.7,,5,D,1,1,0,0,D,0,0
P1,2010-08-22,Leiria,Pacos Ferreira,0,0,D,0,0,D,2.2,3.1,3.4,,6,D,1,1,0,0,D,0,0
P1,2010-08-22,Portimonense,Naval,0,1,A,0,1,A,2.4,3.2,2.9,,6,A,0,3,-1,1,A,-1,1
P1,2010-08-22,Porto,Beira Mar,3,0,H,2,0,H,1.18,6.5,13.0,,6,H,3,0,3,3,H,2,2
P1,2010-08-22,Sp Lisbon,Maritimo,1,0,H,0,0,D,1.55,3.7,6.5,,6,H,3,0,1,1,D,0,0
P1,2010-08-23,Guimaraes,Rio Ave,0,0,D,0,0,D,1.67,3.4,5.75,,0,D,1,1,0,0,D,0,0
P1,2010-08-28,Benfica,Setubal,3,0,H,2,0,H,1.22,5.5,15.0,,5,H,3,0,3,3,H,2,2
P1,2010-08-28,Nacional,Guimaraes,1,3,A,0,0,D,2.2,3.1,3.5,,5,A,0,3,-2,4,D,0,0
P1,2010-08-29,Beira Mar,Academica,2,1,H,1,0,H,2.88,3.0,2.63,,6,H,3,0,1,3,H,1,1
P1,2010-08-29,Olhanense,Leiria,1,0,H,1,0,H,2.4,3.1,3.1,,6,H,3,0,1,1,H,1,1
P1,2010-08-29,Pacos Ferreira,Portimonense,2,2,D,0,1,A,1.83,3.4,4.5,,6,D,1,1,0,4,A,-1,1
P1,2010-08-29,Rio Ave,Porto,0,2,A,0,1,A,8.5,4.33,1.4,,6,A,0,3,-2,2,A,-1,1
P1,2010-08-29,Sp Braga,Maritimo,1,0,H,1,0,H,1.57,3.8,6.0,,6,H,3,0,1,1,H,1,1
P1,2010-08-30,Naval,Sp Lisbon,1,3,A,0,1,A,5.0,3.4,1.75,,0,A,0,3,-2,4,A,-1,1
P1,2010-09-10,Guimaraes,Benfica,2,1,H,1,1,D,5.5,3.5,1.67,,4,H,3,0,1,3,D,0,2
P1,2010-09-11,Porto,Sp Braga,3,2,H,1,1,D,1.57,3.8,6.0,,5,H,3,0,1,5,D,0,2
P1,2010-09-11,Sp Lisbon,Olhanense,0,0,D,0,0,D,1.3,5.0,11.0,,5,D,1,1,0,0,D,0,0
P1,2010-09-12,Academica,Naval,3,0,H,1,0,H,2.0,3.2,4.0,,6,H,3,0,3,3,H,1,1
P1,2010-09-12,Leiria,Nacional,2,1,H,0,0,D,2.8,3.0,2.7,,6,H,3,0,1,3,D,0,0
P1,2010-09-12,Maritimo,Pacos Ferreira,1,1,D,0,1,A,2.05,3.25,3.75,,6,D,1,1,0,2,A,-1,1
P1,2010-09-12,Portimonense,Rio Ave,3,1,H,2,0,H,2.63,3.0,2.8,,6,H,3,0,2,4,H,2,2
P1,2010-09-13,Setubal,Beira Mar,0,0,D,0,0,D,2.2,3.1,3.5,,0,D,1,1,0,0,D,0,0
P1,2010-09-17,Olhanense,Portimonense,2,0,H,1,0,H,2.1,3.1,3.75,,4,H,3,0,2,2,H,1,1
P1,2010-09-18,Beira Mar,Maritimo,1,1,D,0,1,A,2.5,3.0,2.75,,5,D,1,1,0,2,A,-1,1
P1,2010-09-18,Guimaraes,Leiria,1,0,H,0,0,D,1.65,3.4,5.0,,5,H,3,0,1,1,D,0,0
P1,2010-09-19,Benfica,Sp Lisbon,2,0,H,1,0,H,1.8,3.25,4.33,,6,H,3,0,2,2,H,1,1
P1,2010-09-19,Naval,Setubal,0,0,D,0,0,D,2.2,3.0,3.25,,6,D,1,1,0,0,D,0,0
P1,2010-09-19,Pacos Ferreira,Sp Braga,2,2,D,0,1,A,4.33,3.25,1.8,,6,D,1,1,0,4,A,-1,1
P1,2010-09-19,Rio Ave,Academica,2,2,D,1,0,H,2.4,3.0,2.9,,6,D,1,1,0,4,H,1,1
P1,2010-09-20,Nacional,Porto,0,2,A,0,1,A,6.0,3.7,1.53,,0,A,0,3,-2,2,A,-1,1
P1,2010-09-24,Sp Braga,Naval,3,1,H,1,0,H,1.44,4.2,7.5,,4,H,3,0,2,4,H,1,1
P1,2010-09-25,Academica,Guimaraes,3,1,H,0,0,D,2.5,3.0,3.0,,5,H,3,0,2,4,D,0,0
P1,2010-09-25,Maritimo,Benfica,0,1,A,0,0,D,5.0,3.5,1.73,,5,A,0,3,-1,1,D,0,0
P1,2010-09-25,Porto,Olhanense,2,0,H,2,0,H,1.17,6.5,17.0,,5,H,3,0,2,2,H,2,2
P1,2010-09-26,Leiria,Rio Ave,1,0,H,0,0,D,2.1,3.2,3.6,,6,H,3,0,1,1,D,0,0
P1,2010-09-26,Portimonense,Beira Mar,1,0,H,0,0,D,2.4,3.0,3.2,,6,H,3,0,1,1,D,0,0
P1,2010-09-26,Sp Lisbon,Nacional,1,1,D,0,0,D,1.53,3.8,6.5,,6,D,1,1,0,2,D,0,0
P1,2010-09-27,Setubal,Pacos Ferreira,1,0,H,1,0,H,2.5,3.1,2.9,,0,H,3,0,1,1,H,1,1
P1,2010-10-01,Leiria,Academica,2,1,H,0,1,A,2.6,3.0,2.88,,4,H,3,0,1,3,A,-1,1
P1,2010-10-02,Olhanense,Setubal,3,1,H,2,0,H,1.95,3.2,4.2,,5,H,3,0,2,4,H,2,2
P1,2010-10-03,Benfica,Sp Braga,1,0,H,0,0,D,1.75,3.4,5.0,,6,H,3,0,1,1,D,0,0
P1,2010-10-03,Nacional,Portimonense,3,1,H,1,1,D,1.75,3.3,5.25,,6,H,3,0,2,4,D,0,2
P1,2010-10-03,Naval,Pacos Ferreira,1,2,A,1,0,H,2.6,3.0,2.88,,6,A,0,3,-1,3,H,1,1
P1,2010-10-03,Rio Ave,Maritimo,0,0,D,0,0,D,2.6,3.0,2.88,,6,D,1,1,0,0,D,0,0
P1,2010-10-04,Beira Mar,Sp Lisbon,1,1,D,1,1,D,4.33,3.25,1.91,,0,D,1,1,0,2,D,0,2
P1,2010-10-04,Guimaraes,Porto,1,1,D,0,1,A,6.0,3.6,1.62,,0,D,1,1,0,2,A,-1,1
P1,2010-10-22,Academica,Nacional,2,1,H,2,0,H,2.25,3.1,3.4,,4,H,3,0,1,3,H,2,2
P1,2010-10-23,Pacos Ferreira,Beira Mar,1,1,D,1,0,H,2.0,3.2,3.9,,5,D,1,1,0,2,H,1,1
P1,2010-10-23,Setubal,Guimaraes,2,1,H,2,0,H,3.1,3.1,2.38,,5,H,3,0,1,3,H,2,2
P1,2010-10-23,Sp Braga,Olhanense,3,1,H,0,1,A,1.62,3.75,5.5,,5,H,3,0,2,4,A,-1,1
P1,2010-10-24,Maritimo,Naval,1,0,H,0,0,D,1.85,3.4,4.33,,6,H,3,0,1,1,D,0,0
P1,2010-10-24,Portimonense,Benfica,0,1,A,0,0,D,7.5,4.5,1.4,,6,A,0,3,-1,1,D,0,0
P1,2010-10-24,Sp Lisbon,Rio Ave,1,0,H,0,0,D,1.4,4.33,8.0,,6,H,3,0,1,1,D,0,0
P1,2010-10-25,Porto,Leiria,5,1,H,3,0,H,1.2,6.25,13.0,,0,H,3,0,4,6,H,3,3
P1,2010-10-29,Benfica,Pacos Ferreira,2,0,H,1,0,H,1.22,5.75,13.0,,4,H,3,0,2,2,H,1,1
P1,2010-10-30,Academica,Porto,0,1,A,0,1,A,7.0,3.8,1.5,,5,A,0,3,-1,1,A,-1,1
P1,2010-10-30,Rio Ave,Sp Braga,2,0,H,0,0,D,4.5,3.4,1.83,,5,H,3,0,2,2,D,0,0
P1,2010-10-31,Beira Mar,Naval,3,1,H,2,0,H,2.2,3.1,3.4,,6,H,3,0,2,4,H,2,2
P1,2010-10-31,Leiria,Sp Lisbon,1,2,A,1,2,A,4.2,3.25,1.91,,6,A,0,3,-1,3,A,-1,3
P1,2010-10-31,Nacional,Setubal,1,0,H,1,0,H,1.75,3.3,5.0,,6,H,3,0,1,1,H,1,1
P1,2010-10-31,Olhanense,Maritimo,1,1,D,0,1,A,2.4,3.1,3.0,,6,D,1,1,0,2,A,-1,1
P1,2010-11-01,Guimaraes,Portimonense,2,0,H,1,0,H,1.65,3.6,5.5,,0,H,3,0,2,2,H,1,1
