league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2013-08-16,Pacos Ferreira,Sp Braga,0,2,A,0,1,A,3.6,3.25,2.1,,4,A,0,3,-2,2,A,-1,1
P1,2013-08-17,Estoril,Nacional,3,1,H,2,1,H,2.3,3.25,3.1,,5,H,3,0,2,4,H,1,3
P1,2013-08-17,Guimaraes,Olhanense,2,0,H,0,0,D,2.0,3.4,3.75,,5,H,3,0,2,2,D,0,0
P1,2013-08-18,Belenenses,Rio Ave,0,3,A,0,1,A,2.63,3.1,2.75,,6,A,0,3,-3,3,A,-1,1
P1,2013-08-18,Gil Vicente,Academica,2,0,H,1,0,H,2.3,3.2,3.1,,6,H,3,0,2,2,H,1,1
P1,2013-08-18,Maritimo,Benfica,2,1,H,1,0,H,7.5,4.2,1.44,,6,H,3,0,1,3,H,1,1
P1,2013-08-18,Setubal,Porto,1,3,A,1,0,H,12.0,5.5,1.25,,6,A,0,3,-2,4,H,1,1
P1,2013-08-18,Sp Lisbon,Arouca,5,1,H,2,1,H,1.4,4.5,8.0,,6,H,3,0,4,6,H,1,3
P1,2013-08-24,Academica,Sp Lisbon,0,4,A,0,2,A,4.0,3.4,1.91,,5,A,0,3,-4,4,A,-2,2
P1,2013-08-24,Olhanense,Pacos Ferreira,1,0,H,1,0,H,2.6,3.2,2.7,,5,H,3,0,1,1,H,1,1
P1,2013-08-25,Arouca,Estoril,1,2,A,0,2,A,2.9,3.25,2.4,,6,A,0,3,-1,3,A,-2,2
P1,2013-08-25,Benfica,Gil Vicente,2,1,H,0,0,D,1.17,7.0,15.0,,6,H,3,0,1,3,D,0,0
P1,2013-08-25,Nacional,Guimaraes,1,1,D,1,1,D,2.0,3.3,3.8,,6,D,1,1,0,2,D,0,2
P1,2013-08-25,Porto,Maritimo,3,0,H,2,0,H,1.17,7.5,13.0,,6,H,3,0,3,3,H,2,2
P1,2013-08-25,Rio Ave,Setubal,2,0,H,1,0,H,1.73,3.5,5.0,,6,H,3,0,2,2,H,1,1
P1,2013-08-26,Sp Braga,Belenenses,2,1,H,1,0,H,1.33,4.5,11.0,,0,H,3,0,1,3,H,1,1
P1,2013-08-31,Guimaraes,Setubal,1,4,A,1,1,D,1.8,3.5,4.5,,5,A,0,3,-3,5,D,0,2
P1,2013-08-31,Sp Lisbon,Benfica,1,1,D,1,0,H,2.88,3.4,2.38,,5,D,1,1,0,2,H,1,1
P1,2013-09-01,Arouca,Rio Ave,1,0,H,0,0,D,3.3,3.3,2.2,,6,H,3,0,1,1,D,0,0
P1,2013-09-01,Belenenses,Nacional,2,3,A,1,1,D,2.8,3.25,2.5,,6,A,0,3,-1,5,D,0,2
P1,2013-09-01,Gil Vicente,Sp Braga,1,0,H,0,0,D,4.75,3.6,1.75,,6,H,3,0,1,1,D,0,0
P1,2013-09-01,Maritimo,Olhanense,1,1,D,0,1,A,1.73,3.75,4.5,,6,D,1,1,0,2,A,-1,1
P1,2013-09-01,Pacos Ferreira,Porto,0,1,A,0,0,D,12.0,5.5,1.25,,6,A,0,3,-1,1,D,0,0
P1,2013-09-02,Estoril,Academica,1,1,D,0,1,A,1.57,3.8,6.0,,0,D,1,1,0,2,A,-1,1
P1,2013-09-14,Benfica,Pacos Ferreira,3,1,H,2,0,H,1.25,5.5,12.0,,5,H,3,0,2,4,H,2,2
P1,2013-09-14,Porto,Gil Vicente,2,0,H,2,0,H,1.14,7.5,17.0,,5,H,3,0,2,2,H,2,2
P1,2013-09-14,Rio Ave,Guimaraes,0,1,A,0,0,D,1.85,3.4,4.33,,5,A,0,3,-1,1,D,0,0
P1,2013-09-15,Academica,Belenenses,2,1,H,0,1,A,2.1,3.3,3.5,,6,H,3,0,1,3,A,-1,1
P1,2013-09-15,Nacional,Arouca,0,1,A,0,0,D,1.75,3.5,4.75,,6,A,0,3,-1,1,D,0,0
P1,2013-09-15,Olhanense,Sp Lisbon,0,2,A,0,0,D,7.0,4.0,1.5,,6,A,0,3,-2,2,D,0,0
P1,2013-09-15,Setubal,Maritimo,2,4,A,0,0,D,2.9,3.2,2.45,,6,A,0,3,-2,6,D,0,0
P1,2013-09-15,Sp Braga,Estoril,3,2,H,1,1,D,1.57,3.8,6.0,,6,H,3,0,1,5,D,0,2
P1,2013-09-20,Arouca,Sp Braga,0,1,A,0,1,A,4.75,3.6,1.73,,4,A,0,3,-1,1,A,-1,1
P1,2013-09-21,Belenenses,Maritimo,1,0,H,1,0,H,2.9,3.4,2.38,,5,H,3,0,1,1,H,1,1
P1,2013-09-21,Gil Vicente,Olhanense,1,1,D,1,0,H,2.0,3.4,3.75,,5,D,1,1,0,2,H,1,1
P1,2013-09-21,Sp Lisbon,Rio Ave,1,1,D,1,0,H,1.36,4.2,11.0,,5,D,1,1,0,2,H,1,1
P1,2013-09-22,Estoril,Porto,2,2,D,1,1,D,8.5,4.33,1.4,,6,D,1,1,0,4,D,0,2
P1,2013-09-22,Guimaraes,Benfica,0,1,A,0,0,D,8.5,4.33,1.4,,6,A,0,3,-1,1,D,0,0
P1,2013-09-22,Nacional,Academica,1,0,H,1,0,H,1.91,3.4,4.0,,6,H,3,0,1,1,H,1,1
P1,2013-09-23,Pacos Ferreira,Setubal,1,1,D,0,1,A,1.85,3.4,4.33,,0,D,1,1,0,2,A,-1,1
P1,2013-09-27,Porto,Guimaraes,1,0,H,0,0,D,1.18,6.5,15.0,,4,H,3,0,1,1,D,0,0
P1,2013-09-28,Academica,Arouca,0,0,D,0,0,D,2.1,3.4,3.3,,5,D,1,1,0,0,D,0,0
P1,2013-09-28,Benfica,Belenenses,1,1,D,1,1,D,1.13,8.5,17.0,,5,D,1,1,0,2,D,0,2
P1,2013-09-28,Maritimo,Pacos Ferreira,3,4,A,1,0,H,2.1,3.2,3.6,,5,A,0,3,-1,7,H,1,1
P1,2013-09-28,Olhanense,Estoril,1,2,A,1,1,D,3.8,3.3,2.0,,5,A,0,3,-1,3,D,0,2
P1,2013-09-28,Rio Ave,Nacional,0,3,A,0,1,A,2.1,3.2,3.6,,5,A,0,3,-3,3,A,-1,1
