league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2023-08-11,20:15,Sp Braga,Famalicao,1,2,A,1,0,H,13,12,2,4,3,4,17,12,4,4,0,0,20,4,A,0,3,-1,3,H,1,1,40,40
P1,2023-08-12,15:30,Gil Vicente,Portimonense,5,0,H,2,0,H,8,9,5,3,1,1,11,14,0,0,0,0,15,5,H,3,0,5,5,H,2,2,0,0
P1,2023-08-12,18:00,Farense,Casa Pia,0,3,A,0,1,A,12,14,5,5,5,6,13,13,2,4,0,0,18,5,A,0,3,-3,3,A,-1,1,20,40
P1,2023-08-12,20:30,Sp Lisbon,Vizela,3,2,H,2,0,H,19,10,6,4,8,3,16,9,4,0,0,0,20,5,H,3,0,1,5,H,2,2,40,0
P1,2023-08-13,15:30,Rio Ave,Chaves,2,0,H,0,0,D,21,6,8,1,14,3,12,20,3,4,0,1,15,6,H,3,0,2,2,D,0,0,30,65
P1,2023-08-13,18:00,Estrela,Guimaraes,0,1,A,0,1,A,5,11,0,3,3,10,13,18,3,3,1,0,18,6,A,0,3,-1,1,A,-1,1,55,30
P1,2023-08-13,20:30,Arouca,Estoril,4,3,H,1,1,D,11,12,5,8,2,6,11,17,4,2,1,0,20,6,H,3,0,1,7,D,0,2,65,20
P1,2023-08-14,18:45,Moreirense,Porto,1,2,A,0,0,D,8,18,1,7,5,10,22,15,4,7,0,1,18,0,A,0,3,-1,3,D,0,0,40,95
P1,2023-08-14,20:45,Boavista,Benfica,3,2,H,0,1,A,11,15,3,5,3,3,18,15,6,4,1,1,20,0,H,3,0,1,5,A,-1,1,85,65
P1,2023-08-18,20:15,Casa Pia,Sp Lisbon,1,2,A,0,1,A,13,17,3,5,4,5,14,11,4,1,0,0,20,4,A,0,3,-1,3,A,-1,1,40,10
P1,2023-08-19,15:30,Guimaraes,Gil Vicente,2,1,H,0,0,D,15,11,3,3,6,4,14,14,3,3,0,0,15,5,H,3,0,1,3,D,0,0,30,30
P1,2023-08-19,18:00,Chaves,Sp Braga,2,4,A,1,1,D,15,13,4,6,5,6,12,12,2,2,1,0,18,5,A,0,3,-2,6,D,0,2,45,20
P1,2023-08-19,20:30,Benfica,Estrela,2,0,H,0,0,D,27,6,10,1,9,4,8,14,3,3,0,0,20,5,H,3,0,2,2,D,0,0,30,30
P1,2023-08-19,20:30,Portimonense,Boavista,1,4,A,0,3,A,10,9,5,6,11,2,19,13,3,2,0,0,20,5,A,0,3,-3,5,A,-3,3,30,20
P1,2023-08-20,15:30,Estoril,Rio Ave,2,0,H,0,0,D,5,9,4,3,3,3,14,13,4,2,0,0,15,6,H,3,0,2,2,D,0,0,40,20
P1,2023-08-20,18:00,Porto,Farense,2,1,H,1,1,D,26,7,8,1,17,3,9,11,2,3,0,0,18,6,H,3,0,1,3,D,0,2,20,30
P1,2023-08-20,20:30,Vizela,Arouca,2,2,D,1,1,D,13,9,7,2,6,3,24,11,6,6,1,1,20,6,D,1,1,0,4,D,0,2,85,85
P1,2023-08-21,20:15,Famalicao,Moreirense,0,0,D,0,0,D,4,12,2,3,3,6,15,10,4,3,1,0,20,0,D,1,1,0,0,D,0,0,65,30
P1,2023-08-25,20:15,Estrela,Estoril,2,1,H,0,0,D,15,11,3,4,8,8,8,6,1,1,0,0,20,4,H,3,0,1,3,D,0,0,10,10
P1,2023-08-26,15:30,Arouca,Portimonense,1,1,D,0,1,A,21,5,4,2,16,2,12,19,1,2,0,0,15,5,D,1,1,0,2,A,-1,1,10,20
P1,2023-08-26,18:00,Farense,Chaves,5,0,H,4,0,H,18,19,10,7,7,4,24,15,2,1,0,0,18,5,H,3,0,5,5,H,4,4,20,10
P1,2023-08-26,20:30,Gil Vicente,Benfica,2,3,A,0,1,A,11,14,7,7,1,5,15,14,3,3,0,0,20,5,A,0,3,-1,5,A,-1,1,30,30
P1,2023-08-27,15:30,Boavista,Casa Pia,1,1,D,0,1,A,10,10,5,7,11,4,18,14,1,0,0,0,15,6,D,1,1,0,2,A,-1,1,10,0
P1,2023-08-27,18:00,Guimaraes,Vizela,2,0,H,0,0,D,6,9,3,4,3,4,11,9,1,3,1,0,18,6,H,3,0,2,2,D,0,0,35,30
P1,2023-08-27,20:30,Sp Lisbon,Famalicao,1,0,H,0,0,D,10,7,6,1,8,1,17,13,3,2,0,0,20,6,H,3,0,1,1,D,0,0,30,20
P1,2023-08-28,20:15,Rio Ave,Porto,1,2,A,0,0,D,4,9,1,5,1,7,22,17,4,3,0,0,20,0,A,0,3,-1,3,D,0,0,40,30
P1,2023-09-01,20:15,Vizela,Gil Vicente,1,0,H,0,0,D,13,5,5,1,4,3,20,16,0,3,0,0,20,4,H,3,0,1,1,D,0,0,0,30
P1,2023-09-02,15:30,Casa Pia,Rio Ave,1,1,D,1,0,H,10,11,5,5,12,0,18,15,1,2,0,0,15,5,D,1,1,0,2,H,1,1,10,20
P1,2023-09-02,18:00,Famalicao,Farense,1,0,H,0,0,D,21,6,4,1,12,4,16,14,1,3,0,1,18,5,H,3,0,1,1,D,0,0,10,55
P1,2023-09-02,18:00,Portimonense,Estrela,1,1,D,1,1,D,15,10,4,1,3,7,12,16,3,6,0,0,18,5,D,1,1,0,2,D,0,2,30,60
P1,2023-09-02,20:30,Benfica,Guimaraes,4,0,H,3,0,H,20,7,9,1,11,2,9,14,2,4,0,1,20,5,H,3,0,4,4,H,3,3,20,65
P1,2023-09-03,15:30,Chaves,Moreirense,1,2,A,0,1,A,13,9,3,2,3,4,14,21,3,4,0,0,15,6,A,0,3,-1,3,A,-1,1,30,40
P1,2023-09-03,15:30,Estoril,Boavista,1,2,A,1,2,A,13,14,4,8,10,5,21,12,3,1,0,0,15,6,A,0,3,-1,3,A,-1,3,30,10
P1,2023-09-03,18:00,Porto,Arouca,1,1,D,0,0,D,12,10,3,2,5,2,9,14,3,2,0,0,18,6,D,1,1,0,2,D,0,0,30,20
P1,2023-09-03,20:30,Sp Braga,Sp Lisbon,1,1,D,0,1,A,6,4,2,2,4,2,16,9,2,5,0,0,20,6,D,1,1,0,2,A,-1,1,20,50
P1,2023-09-09,18:00,Moreirense,Sp Braga,2,3,A,2,1,H,11,12,3,5,4,5,12,11,2,2,0,0,18,5,A,0,3,-1,5,H,1,3,20,20
P1,2023-09-15,19:15,Estrela,Porto,0,1,A,0,1,A,9,10,1,4,10,6,12,21,3,5,0,0,19,4,A,0,3,-1,1,A,-1,1,30,50
P1,2023-09-16,15:30,Rio Ave,Famalicao,1,1,D,0,1,A,5,12,0,4,3,3,15,20,1,3,0,0,15,5,D,1,1,0,2,A,-1,1,10,30
P1,2023-09-16,18:00,Farense,Sp Braga,3,1,H,2,0,H,16,17,4,7,7,3,16,10,4,5,0,0,18,5,H,3,0,2,4,H,2,2,40,50
P1,2023-09-16,20:30,Vizela,Benfica,1,2,A,0,2,A,12,17,2,7,2,3,15,6,2,1,0,0,20,5,A,0,3,-1,3,A,-2,2,20,10
