,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,season_file,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_bookings_pts,away_bookings_pts,time
1577,P1,2016-08-14,Guimaraes,Sp Braga,0.0,1.0,A,0.0,1.0,A,3.4,3.2,2.2,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1576,P1,2016-08-14,Boavista,Arouca,2.0,0.0,H,2.0,0.0,H,2.9,3.0,2.6,,6.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1579,P1,2016-08-15,Estoril,Feirense,0.0,2.0,A,0.0,1.0,A,2.05,3.1,4.0,,0.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1580,P1,2016-08-19,Belenenses,Boavista,0.0,0.0,D,0.0,0.0,D,2.5,3.0,3.1,,4.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1581,P1,2016-08-20,Chaves,Tondela,1.0,1.0,D,1.0,0.0,H,2.1,3.1,3.8,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1582,P1,2016-08-20,Maritimo,Guimaraes,0.0,2.0,A,0.0,2.0,A,2.5,3.1,2.9,,5.0,A,0.0,3.0,-2.0,2.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1583,P1,2016-08-20,Pacos Ferreira,Sp Lisbon,0.0,1.0,A,0.0,1.0,A,9.0,4.2,1.4,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1584,P1,2016-08-20,Porto,Estoril,1.0,0.0,H,0.0,0.0,D,1.29,5.5,9.5,,5.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1587,P1,2016-08-21,Feirense,Moreirense,0.0,3.0,A,0.0,1.0,A,2.3,3.0,3.4,,6.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1585,P1,2016-08-21,Arouca,Nacional,2.0,0.0,H,2.0,0.0,H,2.05,3.2,3.8,,6.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1586,P1,2016-08-21,Benfica,Setubal,1.0,1.0,D,0.0,0.0,D,1.17,7.0,15.0,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1588,P1,2016-08-22,Sp Braga,Rio Ave,1.0,1.0,D,0.0,1.0,A,1.57,3.8,6.0,,0.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1589,P1,2016-08-26,Guimaraes,Pacos Ferreira,5.0,3.0,H,2.0,1.0,H,2.0,3.1,4.2,,4.0,H,3.0,0.0,2.0,8.0,H,1.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1590,P1,2016-08-27,Estoril,Sp Braga,1.0,3.0,A,0.0,2.0,A,3.75,3.25,2.05,,5.0,A,0.0,3.0,-2.0,4.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1591,P1,2016-08-27,Nacional,Benfica,1.0,3.0,A,0.0,1.0,A,8.0,4.5,1.4,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1592,P1,2016-08-27,Tondela,Belenenses,0.0,1.0,A,0.0,0.0,D,2.45,3.25,2.88,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1597,P1,2016-08-28,Sp Lisbon,Porto,2.0,1.0,H,2.0,1.0,H,2.1,3.2,3.6,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1596,P1,2016-08-28,Setubal,Arouca,2.0,0.0,H,1.0,0.0,H,2.3,3.1,3.3,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1594,P1,2016-08-28,Moreirense,Maritimo,0.0,1.0,A,0.0,1.0,A,2.38,3.2,3.0,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1593,P1,2016-08-28,Boavista,Chaves,2.0,2.0,D,1.0,0.0,H,2.3,3.0,3.4,,6.0,D,1.0,1.0,0.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1595,P1,2016-08-28,Rio Ave,Feirense,1.0,0.0,H,0.0,0.0,D,1.91,3.25,4.33,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1598,P1,2016-09-04,Nacional,Chaves,0.0,1.0,A,0.0,1.0,A,2.5,3.0,3.0,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1599,P1,2016-09-09,Arouca,Benfica,1.0,2.0,A,0.0,1.0,A,7.5,4.2,1.45,,4.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1600,P1,2016-09-10,Belenenses,Nacional,2.0,1.0,H,0.0,1.0,A,2.1,3.1,3.75,,5.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1601,P1,2016-09-10,Porto,Guimaraes,3.0,0.0,H,1.0,0.0,H,1.36,5.0,7.5,,5.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1602,P1,2016-09-10,Sp Lisbon,Moreirense,3.0,0.0,H,1.0,0.0,H,1.29,5.0,12.0,,5.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1606,P1,2016-09-11,Sp Braga,Boavista,3.0,0.0,H,1.0,0.0,H,1.44,4.0,8.0,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1605,P1,2016-09-11,Pacos Ferreira,Estoril,0.0,0.0,D,0.0,0.0,D,2.0,3.2,4.0,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1604,P1,2016-09-11,Maritimo,Rio Ave,0.0,1.0,A,0.0,1.0,A,2.5,3.0,3.0,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1603,P1,2016-09-11,Chaves,Setubal,0.0,0.0,D,0.0,0.0,D,2.5,3.0,3.0,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1607,P1,2016-09-12,Feirense,Tondela,2.0,1.0,H,1.0,0.0,H,2.38,3.1,3.1,,0.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1608,P1,2016-09-16,Nacional,Maritimo,2.0,0.0,H,1.0,0.0,H,2.55,3.2,2.8,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1609,P1,2016-09-17,Estoril,Moreirense,2.0,0.0,H,1.0,0.0,H,2.38,3.0,3.25,,5.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1610,P1,2016-09-17,Guimaraes,Belenenses,1.0,1.0,D,1.0,0.0,H,1.91,3.25,4.33,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1611,P1,2016-09-17,Setubal,Pacos Ferreira,1.0,4.0,A,1.0,3.0,A,2.4,3.1,3.1,,5.0,A,0.0,3.0,-3.0,5.0,A,-2.0,4.0,cleanP1_1617,,,,,,,,,,,,,,,
1615,P1,2016-09-18,Tondela,Porto,0.0,0.0,D,0.0,0.0,D,8.5,4.75,1.36,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1614,P1,2016-09-18,Rio Ave,Sp Lisbon,3.0,1.0,H,3.0,0.0,H,5.5,4.0,1.57,,6.0,H,3.0,0.0,2.0,4.0,H,3.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1612,P1,2016-09-18,Arouca,Chaves,0.0,1.0,A,0.0,1.0,A,2.2,3.0,3.6,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1613,P1,2016-09-18,Boavista,Feirense,1.0,2.0,A,0.0,1.0,A,2.2,3.1,3.5,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1616,P1,2016-09-19,Benfica,Sp Braga,3.0,1.0,H,1.0,0.0,H,1.55,4.0,6.0,,0.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1617,P1,2016-09-23,Porto,Boavista,3.0,1.0,H,2.0,1.0,H,1.18,6.5,15.0,,4.0,H,3.0,0.0,2.0,4.0,H,1.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1618,P1,2016-09-23,Sp Lisbon,Estoril,4.0,2.0,H,1.0,0.0,H,1.17,6.5,19.0,,4.0,H,3.0,0.0,2.0,6.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1619,P1,2016-09-24,Chaves,Benfica,0.0,2.0,A,0.0,0.0,D,9.0,4.0,1.44,,5.0,A,0.0,3.0,-2.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1620,P1,2016-09-24,Feirense,Nacional,0.0,3.0,A,0.0,1.0,A,2.5,3.1,2.9,,5.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1621,P1,2016-09-24,Sp Braga,Setubal,2.0,1.0,H,0.0,1.0,A,1.5,4.2,6.5,,5.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1622,P1,2016-09-25,Maritimo,Tondela,2.0,0.0,H,2.0,0.0,H,2.05,3.25,3.75,,6.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1623,P1,2016-09-25,Moreirense,Guimaraes,0.0,1.0,A,0.0,0.0,D,2.88,3.1,2.55,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1624,P1,2016-09-25,Pacos Ferreira,Rio Ave,2.0,1.0,H,2.0,0.0,H,2.88,3.1,2.55,,6.0,H,3.0,0.0,1.0,3.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1625,P1,2016-09-26,Belenenses,Arouca,1.0,1.0,D,1.0,0.0,H,2.25,3.1,3.4,,0.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1626,P1,2016-09-30,Tondela,Pacos Ferreira,2.0,1.0,H,1.0,0.0,H,2.5,3.0,3.0,,4.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1630,P1,2016-10-01,Rio Ave,Estoril,1.0,2.0,A,1.0,2.0,A,1.85,3.4,4.33,,5.0,A,0.0,3.0,-1.0,3.0,A,-1.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1628,P1,2016-10-01,Guimaraes,Sp Lisbon,3.0,3.0,D,0.0,2.0,A,5.25,3.6,1.67,,5.0,D,1.0,1.0,0.0,6.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1627,P1,2016-10-01,Chaves,Belenenses,3.0,1.0,H,0.0,1.0,A,2.2,3.1,3.5,,5.0,H,3.0,0.0,2.0,4.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1629,P1,2016-10-01,Nacional,Porto,0.0,4.0,A,0.0,3.0,A,8.5,4.75,1.36,,5.0,A,0.0,3.0,-4.0,4.0,A,-3.0,3.0,cleanP1_1617,,,,,,,,,,,,,,,
1631,P1,2016-10-02,Arouca,Sp Braga,1.0,1.0,D,0.0,0.0,D,3.5,3.3,2.1,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1632,P1,2016-10-02,Benfica,Feirense,4.0,0.0,H,1.0,0.0,H,1.14,7.5,19.0,,6.0,H,3.0,0.0,4.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1633,P1,2016-10-02,Boavista,Moreirense,2.0,0.0,H,1.0,0.0,H,2.4,3.1,3.1,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1634,P1,2016-10-02,Setubal,Maritimo,0.0,1.0,A,0.0,0.0,D,2.1,3.2,3.6,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1635,P1,2016-10-21,Maritimo,Boavista,1.0,1.0,D,1.0,0.0,H,2.0,3.2,4.0,,4.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1636,P1,2016-10-21,Pacos Ferreira,Nacional,1.0,1.0,D,0.0,1.0,A,2.15,3.25,3.4,,4.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1637,P1,2016-10-22,Feirense,Setubal,1.0,1.0,D,0.0,0.0,D,2.45,3.2,2.9,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1638,P1,2016-10-22,Porto,Arouca,3.0,0.0,H,1.0,0.0,H,1.18,6.5,15.0,,5.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1639,P1,2016-10-22,Sp Lisbon,Tondela,1.0,1.0,D,0.0,0.0,D,1.18,6.5,15.0,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1640,P1,2016-10-23,Belenenses,Benfica,0.0,2.0,A,0.0,1.0,A,7.5,4.2,1.44,,6.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1641,P1,2016-10-23,Estoril,Guimaraes,0.0,2.0,A,0.0,1.0,A,3.1,3.2,2.35,,6.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1642,P1,2016-10-23,Moreirense,Rio Ave,1.0,1.0,D,0.0,0.0,D,3.0,3.2,2.4,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1643,P1,2016-10-24,Sp Braga,Chaves,1.0,0.0,H,0.0,0.0,D,1.62,3.8,5.5,,0.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1645,P1,2016-10-28,Nacional,Sp Lisbon,0.0,0.0,D,0.0,0.0,D,7.5,4.5,1.4,,4.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1644,P1,2016-10-28,Benfica,Pacos Ferreira,3.0,0.0,H,1.0,0.0,H,1.2,6.0,15.0,,4.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1646,P1,2016-10-29,Boavista,Estoril,0.0,0.0,D,0.0,0.0,D,2.15,3.1,3.6,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1647,P1,2016-10-29,Setubal,Porto,0.0,0.0,D,0.0,0.0,D,9.0,5.75,1.29,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1648,P1,2016-10-29,Tondela,Moreirense,1.0,2.0,A,1.0,1.0,D,2.3,3.1,3.2,,5.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1649,P1,2016-10-30,Arouca,Maritimo,1.0,0.0,H,0.0,0.0,D,2.45,3.1,3.0,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1650,P1,2016-10-30,Rio Ave,Guimaraes,0.0,3.0,A,0.0,1.0,A,2.6,3.25,2.7,,6.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1651,P1,2016-10-30,Sp Braga,Belenenses,2.0,1.0,H,1.0,0.0,H,1.53,3.8,6.5,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1652,P1,2016-10-31,Chaves,Feirense,1.0,1.0,D,0.0,1.0,A,1.91,3.25,4.33,,0.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1653,P1,2016-11-04,Guimaraes,Nacional,2.0,1.0,H,0.0,0.0,D,1.57,3.8,6.0,,4.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1654,P1,2016-11-05,Estoril,Tondela,2.0,0.0,H,0.0,0.0,D,2.2,3.2,3.4,,5.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1655,P1,2016-11-05,Feirense,Belenenses,0.0,1.0,A,0.0,1.0,A,2.63,3.1,2.75,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1656,P1,2016-11-05,Pacos Ferreira,Chaves,1.0,1.0,D,0.0,0.0,D,2.38,3.1,3.1,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1657,P1,2016-11-05,Rio Ave,Boavista,1.0,2.0,A,1.0,1.0,D,1.85,3.3,4.5,,5.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1660,P1,2016-11-06,Porto,Benfica,1.0,1.0,D,0.0,0.0,D,2.1,3.4,3.4,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1661,P1,2016-11-06,Sp Lisbon,Arouca,3.0,0.0,H,1.0,0.0,H,1.2,6.5,13.0,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1658,P1,2016-11-06,Maritimo,Sp Braga,1.0,0.0,H,1.0,0.0,H,3.4,3.2,2.2,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1659,P1,2016-11-06,Moreirense,Setubal,1.0,2.0,A,0.0,0.0,D,2.2,3.1,3.5,,6.0,A,0.0,3.0,-1.0,3.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1662,P1,2016-11-25,Setubal,Rio Ave,0.0,1.0,A,0.0,1.0,A,2.88,3.1,2.5,,4.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1663,P1,2016-11-26,Belenenses,Porto,0.0,0.0,D,0.0,0.0,D,10.0,5.25,1.29,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1664,P1,2016-11-26,Boavista,Sp Lisbon,0.0,1.0,A,0.0,1.0,A,9.0,5.0,1.33,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1665,P1,2016-11-26,Chaves,Maritimo,0.0,0.0,D,0.0,0.0,D,2.25,3.0,3.5,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1666,P1,2016-11-26,Nacional,Estoril,0.0,1.0,A,0.0,1.0,A,2.25,3.2,3.3,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1667,P1,2016-11-27,Arouca,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,2.25,3.1,3.4,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1669,P1,2016-11-27,Tondela,Guimaraes,2.0,1.0,H,0.0,0.0,D,3.4,3.25,2.15,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1668,P1,2016-11-27,Benfica,Moreirense,3.0,0.0,H,1.0,0.0,H,1.17,7.0,15.0,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1670,P1,2016-11-28,Sp Braga,Feirense,6.0,2.0,H,3.0,1.0,H,1.5,4.0,7.0,,0.0,H,3.0,0.0,4.0,8.0,H,2.0,4.0,cleanP1_1617,,,,,,,,,,,,,,,
1671,P1,2016-12-02,Maritimo,Benfica,2.0,1.0,H,1.0,1.0,D,9.5,4.5,1.36,,4.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1672,P1,2016-12-03,Porto,Sp Braga,1.0,0.0,H,0.0,0.0,D,1.36,4.75,8.0,,5.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1673,P1,2016-12-03,Rio Ave,Tondela,3.0,1.0,H,1.0,0.0,H,1.75,3.4,5.0,,5.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1674,P1,2016-12-03,Sp Lisbon,Setubal,2.0,0.0,H,2.0,0.0,H,1.2,6.0,15.0,,5.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1677,P1,2016-12-04,Guimaraes,Chaves,1.0,1.0,D,1.0,0.0,H,1.85,3.3,4.5,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1678,P1,2016-12-04,Moreirense,Nacional,3.0,1.0,H,1.0,0.0,H,2.25,3.1,3.4,,6.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1676,P1,2016-12-04,Feirense,Arouca,0.0,2.0,A,0.0,0.0,D,2.45,3.0,3.1,,6.0,A,0.0,3.0,-2.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1675,P1,2016-12-04,Estoril,Belenenses,1.0,1.0,D,0.0,0.0,D,2.38,3.1,3.1,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1679,P1,2016-12-05,Pacos Ferreira,Boavista,2.0,1.0,H,2.0,0.0,H,2.2,3.0,3.6,,0.0,H,3.0,0.0,1.0,3.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1680,P1,2016-12-09,Setubal,Estoril,2.0,0.0,H,1.0,0.0,H,2.0,3.3,3.8,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1681,P1,2016-12-10,Belenenses,Maritimo,1.0,0.0,H,1.0,0.0,H,2.38,3.0,3.25,,5.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1682,P1,2016-12-10,Boavista,Guimaraes,1.0,2.0,A,1.0,1.0,D,3.4,3.0,2.3,,5.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1683,P1,2016-12-10,Chaves,Moreirense,2.0,1.0,H,1.0,1.0,D,2.1,3.1,3.8,,5.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1684,P1,2016-12-11,Benfica,Sp Lisbon,2.0,1.0,H,1.0,0.0,H,2.2,3.1,3.5,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1685,P1,2016-12-11,Feirense,Porto,0.0,4.0,A,0.0,2.0,A,10.0,5.25,1.29,,6.0,A,0.0,3.0,-4.0,4.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1686,P1,2016-12-11,Nacional,Tondela,3.0,2.0,H,0.0,2.0,A,2.05,3.2,3.8,,6.0,H,3.0,0.0,1.0,5.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1687,P1,2016-12-11,Sp Braga,Pacos Ferreira,3.0,0.0,H,2.0,0.0,H,1.6,3.5,6.5,,6.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1688,P1,2016-12-12,Arouca,Rio Ave,0.0,2.0,A,0.0,0.0,D,2.6,3.0,2.88,,0.0,A,0.0,3.0,-2.0,2.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1689,P1,2016-12-15,Porto,Maritimo,2.0,1.0,H,1.0,0.0,H,1.2,6.0,15.0,,3.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1690,P1,2016-12-16,Pacos Ferreira,Belenenses,1.0,0.0,H,0.0,0.0,D,2.45,3.1,3.0,,4.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1692,P1,2016-12-17,Moreirense,Arouca,1.0,4.0,A,0.0,2.0,A,2.15,3.1,3.6,,5.0,A,0.0,3.0,-3.0,5.0,A,-2.0,2.0,cleanP1_1617,,,,,,,,,,,,,,,
1691,P1,2016-12-17,Estoril,Benfica,0.0,1.0,A,0.0,0.0,D,13.0,5.75,1.22,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1695,P1,2016-12-18,Sp Lisbon,Sp Braga,0.0,1.0,A,0.0,0.0,D,1.44,4.0,8.0,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
1696,P1,2016-12-18,Tondela,Boavista,1.0,1.0,D,1.0,0.0,H,2.4,3.0,3.2,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1693,P1,2016-12-18,Guimaraes,Setubal,3.0,1.0,H,1.0,0.0,H,1.67,3.6,5.5,,6.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0,cleanP1_1617,,,,,,,,,,,,,,,
1694,P1,2016-12-18,Rio Ave,Nacional,2.0,1.0,H,0.0,0.0,D,1.85,3.3,4.5,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0,cleanP1_1617,,,,,,,,,,,,,,,
