league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2021-08-06,20:15,Sp Lisbon,Vizela,3,0,H,0,0,D,15,6,5,1,3,5,9,16,1,3,0,0,20,4,H,3,0,3,3,D,0,0,10,30
P1,2021-08-07,12:45,Arouca,Estoril,0,2,A,0,1,A,11,12,3,6,3,2,14,13,1,3,0,0,12,5,A,0,3,-2,2,A,-1,1,10,30
P1,2021-08-07,18:00,Moreirense,Benfica,1,2,A,1,2,A,8,9,3,6,0,6,20,18,4,4,0,1,18,5,A,0,3,-1,3,A,-1,3,40,65
P1,2021-08-07,20:30,Maritimo,Sp Braga,0,2,A,0,0,D,7,12,0,5,3,6,23,12,3,3,0,0,20,5,A,0,3,-2,2,D,0,0,30,30
P1,2021-08-08,15:30,Guimaraes,Portimonense,0,1,A,0,0,D,18,7,3,1,10,5,15,12,2,3,0,0,15,6,A,0,3,-1,1,D,0,0,20,30
P1,2021-08-08,15:30,Tondela,Santa Clara,3,0,H,1,0,H,10,23,5,5,3,5,18,12,1,3,0,0,15,6,H,3,0,3,3,H,1,1,10,30
P1,2021-08-08,18:00,Porto,Belenenses,2,0,H,1,0,H,21,7,7,3,8,3,11,15,2,3,0,0,18,6,H,3,0,2,2,H,1,1,20,30
P1,2021-08-08,20:30,Pacos Ferreira,Famalicao,2,0,H,0,0,D,20,10,3,2,6,3,33,20,2,4,0,0,20,6,H,3,0,2,2,D,0,0,20,40
P1,2021-08-09,20:15,Gil Vicente,Boavista,3,0,H,2,0,H,9,13,6,5,1,5,21,10,3,3,0,0,20,0,H,3,0,3,3,H,2,2,30,30
P1,2021-08-13,20:15,Estoril,Guimaraes,0,0,D,0,0,D,7,12,1,2,4,9,15,14,1,4,0,1,20,4,D,1,1,0,0,D,0,0,10,65
P1,2021-08-14,15:30,Vizela,Tondela,2,1,H,0,1,A,20,8,6,2,11,4,18,11,2,3,0,0,15,5,H,3,0,1,3,A,-1,1,20,30
P1,2021-08-14,18:00,Benfica,Arouca,2,0,H,2,0,H,17,3,5,1,4,2,17,2,1,0,0,1,18,5,H,3,0,2,2,H,2,2,10,25
P1,2021-08-14,20:30,Sp Braga,Sp Lisbon,1,2,A,0,1,A,16,5,6,3,6,5,18,14,3,4,0,1,20,5,A,0,3,-1,3,A,-1,1,30,65
P1,2021-08-15,15:30,Portimonense,Gil Vicente,0,1,A,0,0,D,18,7,5,4,5,4,11,18,3,2,0,0,15,6,A,0,3,-1,1,D,0,0,30,20
P1,2021-08-15,18:00,Famalicao,Porto,1,2,A,0,2,A,7,12,1,4,3,2,16,14,3,1,0,0,18,6,A,0,3,-1,3,A,-2,2,30,10
P1,2021-08-15,20:30,Santa Clara,Moreirense,2,2,D,0,0,D,17,10,4,4,5,4,13,21,5,4,0,1,20,6,D,1,1,0,4,D,0,0,50,65
P1,2021-08-16,19:00,Boavista,Pacos Ferreira,3,0,H,1,0,H,8,17,4,5,2,8,16,15,3,2,0,0,19,0,H,3,0,3,3,H,1,1,30,20
P1,2021-08-16,21:15,Belenenses,Maritimo,1,2,A,1,2,A,5,13,2,4,3,4,22,21,4,5,0,0,21,0,A,0,3,-1,3,A,-1,3,40,50
P1,2021-08-20,19:00,Arouca,Famalicao,2,1,H,0,1,A,22,10,6,5,10,9,18,22,4,4,0,0,19,4,H,3,0,1,3,A,-1,1,40,40
P1,2021-08-20,21:15,Moreirense,Sp Braga,2,3,A,0,2,A,13,16,5,7,6,0,14,10,4,2,0,0,21,4,A,0,3,-1,5,A,-2,2,40,20
P1,2021-08-21,18:00,Gil Vicente,Benfica,0,2,A,0,0,D,5,21,2,7,3,9,7,13,3,2,0,0,18,5,A,0,3,-2,2,D,0,0,30,20
P1,2021-08-21,20:30,Sp Lisbon,Belenenses,2,0,H,1,0,H,26,3,7,0,10,0,15,12,2,2,0,1,20,5,H,3,0,2,2,H,1,1,20,45
P1,2021-08-22,15:30,Tondela,Portimonense,0,3,A,0,2,A,11,7,3,5,6,5,14,18,4,4,0,0,15,6,A,0,3,-3,3,A,-2,2,40,40
P1,2021-08-22,18:00,Maritimo,Porto,1,1,D,1,1,D,5,16,1,5,3,4,21,18,4,1,0,0,18,6,D,1,1,0,2,D,0,2,40,10
P1,2021-08-22,20:30,Guimaraes,Vizela,4,0,H,0,0,D,20,4,8,2,8,2,15,17,4,4,0,0,20,6,H,3,0,4,4,D,0,0,40,40
P1,2021-08-23,19:00,Pacos Ferreira,Estoril,1,3,A,1,1,D,10,14,2,4,5,4,24,12,3,3,0,0,19,0,A,0,3,-2,4,D,0,2,30,30
P1,2021-08-23,21:15,Boavista,Santa Clara,2,0,H,1,0,H,9,11,4,2,5,5,16,12,3,3,0,0,21,0,H,3,0,2,2,H,1,1,30,30
P1,2021-08-27,19:00,Belenenses,Moreirense,1,1,D,1,0,H,4,18,1,6,3,11,12,13,5,4,1,0,19,4,D,1,1,0,2,H,1,1,75,40
P1,2021-08-27,21:15,Estoril,Maritimo,2,1,H,1,1,D,9,7,3,2,1,4,21,24,7,6,0,0,21,4,H,3,0,1,3,D,0,2,70,60
P1,2021-08-28,15:30,Vizela,Boavista,1,1,D,0,0,D,16,5,4,1,11,2,17,10,3,3,0,0,15,5,D,1,1,0,2,D,0,0,30,30
P1,2021-08-28,18:00,Porto,Arouca,3,0,H,2,0,H,15,8,4,1,4,5,16,14,4,3,0,0,18,5,H,3,0,3,3,H,2,2,40,30
P1,2021-08-28,20:30,Famalicao,Sp Lisbon,1,1,D,0,0,D,14,15,5,5,2,9,12,17,4,5,0,0,20,5,D,1,1,0,2,D,0,0,40,50
P1,2021-08-29,18:00,Benfica,Tondela,2,1,H,0,1,A,20,3,8,2,11,0,11,19,2,3,0,0,18,6,H,3,0,1,3,A,-1,1,20,30
P1,2021-08-29,18:00,Sp Braga,Guimaraes,0,0,D,0,0,D,20,11,6,2,6,6,14,16,2,5,0,0,18,6,D,1,1,0,0,D,0,0,20,50
P1,2021-08-29,20:30,Portimonense,Pacos Ferreira,0,1,A,0,1,A,18,6,5,2,7,3,12,16,2,5,0,0,20,6,A,0,3,-1,1,A,-1,1,20,50
P1,2021-08-29,20:30,Santa Clara,Gil Vicente,1,0,H,1,0,H,10,5,4,2,5,4,20,13,3,5,1,1,20,6,H,3,0,1,1,H,1,1,55,75
P1,2021-09-11,15:30,Pacos Ferreira,Sp Braga,0,0,D,0,0,D,12,10,3,2,11,5,14,16,2,0,0,0,15,5,D,1,1,0,0,D,0,0,20,0
P1,2021-09-11,18:00,Santa Clara,Benfica,0,5,A,0,1,A,11,8,5,5,7,2,20,20,2,1,0,0,18,5,A,0,3,-5,5,A,-1,1,20,10
P1,2021-09-11,20:30,Sp Lisbon,Porto,1,1,D,1,0,H,9,5,5,1,5,4,19,21,6,6,0,1,20,5,D,1,1,0,2,H,1,1,60,85
P1,2021-09-12,15:30,Moreirense,Famalicao,2,2,D,1,1,D,7,15,3,8,6,4,14,10,2,3,0,0,15,6,D,1,1,0,4,D,0,2,20,30
P1,2021-09-12,18:00,Boavista,Portimonense,1,1,D,0,1,A,11,7,3,3,8,2,17,14,3,5,0,0,18,6,D,1,1,0,2,A,-1,1,30,50
P1,2021-09-12,18:00,Gil Vicente,Vizela,2,2,D,0,1,A,21,19,6,6,9,7,12,19,3,3,0,0,18,6,D,1,1,0,4,A,-1,1,30,30
P1,2021-09-12,20:30,Guimaraes,Belenenses,0,0,D,0,0,D,10,16,3,6,5,7,18,17,5,4,0,0,20,6,D,1,1,0,0,D,0,0,50,40
P1,2021-09-13,19:00,Maritimo,Arouca,2,2,D,2,1,H,14,17,6,3,5,2,18,19,5,6,1,0,19,0,D,1,1,0,4,H,1,3,75,60
P1,2021-09-13,21:15,Tondela,Estoril,1,2,A,0,2,A,20,11,5,4,6,5,18,24,2,7,0,0,21,0,A,0,3,-1,3,A,-2,2,20,70
P1,2021-09-17,20:15,Portimonense,Santa Clara,2,1,H,2,1,H,10,13,4,2,4,2,21,11,4,3,0,0,20,4,H,3,0,1,3,H,1,3,40,30
P1,2021-09-18,15:30,Famalicao,Maritimo,0,0,D,0,0,D,16,2,4,0,7,5,20,20,3,3,0,0,15,5,D,1,1,0,0,D,0,0,30,30
P1,2021-09-18,18:00,Belenenses,Gil Vicente,1,1,D,0,0,D,11,8,4,4,4,7,19,15,3,3,0,0,18,5,D,1,1,0,2,D,0,0,30,30
P1,2021-09-18,20:30,Arouca,Guimaraes,2,2,D,0,1,A,11,11,5,4,6,4,17,10,1,2,0,0,20,5,D,1,1,0,4,A,-1,1,10,20
P1,2021-09-19,15:30,Vizela,Pacos Ferreira,1,1,D,1,0,H,21,12,4,3,5,4,14,10,5,2,0,1,15,6,D,1,1,0,2,H,1,1,50,45
P1,2021-09-19,18:00,Porto,Moreirense,5,0,H,1,0,H,18,5,7,0,6,5,11,11,2,3,0,0,18,6,H,3,0,5,5,H,1,1,20,30
P1,2021-09-19,20:30,Estoril,Sp Lisbon,0,1,A,0,0,D,7,11,3,4,7,9,10,6,3,2,0,0,20,6,A,0,3,-1,1,D,0,0,30,20
P1,2021-09-20,19:00,Benfica,Boavista,3,1,H,2,1,H,8,10,6,6,5,4,16,13,1,3,0,0,19,0,H,3,0,2,4,H,1,3,10,30
P1,2021-09-20,21:15,Sp Braga,Tondela,3,1,H,0,0,D,20,3,7,1,5,0,9,6,2,4,0,0,21,0,H,3,0,2,4,D,0,0,20,40
P1,2021-09-24,19:00,Sp Lisbon,Maritimo,1,0,H,0,0,D,25,4,7,0,9,0,14,14,4,6,0,1,19,4,H,3,0,1,1,D,0,0,40,85
P1,2021-09-24,21:15,Gil Vicente,Porto,1,2,A,1,1,D,8,16,4,8,2,6,15,17,5,4,0,0,21,4,A,0,3,-1,3,D,0,2,50,40
P1,2021-09-25,15:30,Moreirense,Arouca,2,1,H,1,0,H,8,17,3,5,5,9,20,8,5,2,0,0,15,5,H,3,0,1,3,H,1,1,50,20
P1,2021-09-25,18:00,Guimaraes,Benfica,1,3,A,0,2,A,13,16,3,4,5,5,16,12,0,1,0,0,18,5,A,0,3,-2,4,A,-2,2,0,10
