league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2011-08-12,Gil Vicente,Benfica,2,2,D,1,2,A,9.0,4.2,1.4,,4,D,1,1,0,4,A,-1,3
P1,2011-08-13,Rio Ave,Sp Braga,0,0,D,0,0,D,3.25,3.1,2.3,,5,D,1,1,0,0,D,0,0
P1,2011-08-13,Sp Lisbon,Olhanense,1,1,D,0,1,A,1.4,4.33,8.5,,5,D,1,1,0,2,A,-1,1
P1,2011-08-14,Feirense,Nacional,0,0,D,0,0,D,2.8,3.1,2.6,,6,D,1,1,0,0,D,0,0
P1,2011-08-14,Guimaraes,Porto,0,1,A,0,1,A,7.0,4.0,1.5,,6,A,0,3,-1,1,A,-1,1
P1,2011-08-14,Maritimo,Beira Mar,0,0,D,0,0,D,1.91,3.2,4.33,,6,D,1,1,0,0,D,0,0
P1,2011-08-14,Setubal,Pacos Ferreira,2,1,H,0,1,A,2.5,3.1,2.9,,6,H,3,0,1,3,A,-1,1
P1,2011-08-15,Leiria,Academica,1,2,A,1,0,H,2.5,3.2,2.8,,0,A,0,3,-1,3,H,1,1
P1,2011-08-19,Porto,Gil Vicente,3,1,H,2,1,H,1.17,7.0,16.0,,4,H,3,0,2,4,H,1,3
P1,2011-08-20,Benfica,Feirense,3,1,H,1,0,H,1.2,6.5,13.0,,5,H,3,0,2,4,H,1,1
P1,2011-08-21,Academica,Rio Ave,1,0,H,1,0,H,2.4,3.1,3.1,,6,H,3,0,1,1,H,1,1
P1,2011-08-21,Beira Mar,Sp Lisbon,0,0,D,0,0,D,4.75,3.25,1.83,,6,D,1,1,0,0,D,0,0
P1,2011-08-21,Pacos Ferreira,Leiria,2,1,H,0,0,D,2.0,3.2,4.0,,6,H,3,0,1,3,D,0,0
P1,2011-08-21,Sp Braga,Maritimo,2,0,H,0,0,D,1.62,3.6,6.0,,6,H,3,0,2,2,D,0,0
P1,2011-08-22,Olhanense,Setubal,2,2,D,0,2,A,2.2,3.2,3.4,,0,D,1,1,0,4,A,-2,2
P1,2011-08-27,Gil Vicente,Academica,2,0,H,0,0,D,2.5,3.0,3.0,,5,H,3,0,2,2,D,0,0
P1,2011-08-28,Feirense,Pacos Ferreira,0,0,D,0,0,D,2.7,3.0,2.75,,6,D,1,1,0,0,D,0,0
P1,2011-08-28,Guimaraes,Beira Mar,0,3,A,0,1,A,1.91,3.2,4.33,,6,A,0,3,-3,3,A,-1,1
P1,2011-08-28,Rio Ave,Olhanense,0,1,A,0,1,A,2.1,3.1,3.75,,6,A,0,3,-1,1,A,-1,1
P1,2011-08-28,Sp Lisbon,Maritimo,2,3,A,1,0,H,1.44,4.0,8.0,,6,A,0,3,-1,5,H,1,1
P1,2011-08-29,Nacional,Benfica,0,2,A,0,1,A,6.5,3.8,1.53,,0,A,0,3,-2,2,A,-1,1
P1,2011-08-29,Setubal,Sp Braga,0,1,A,0,0,D,3.6,3.2,2.1,,0,A,0,3,-1,1,D,0,0
P1,2011-09-04,Nacional,Guimaraes,1,4,A,0,2,A,2.2,3.2,3.4,,6,A,0,3,-3,5,A,-2,2
P1,2011-09-06,Leiria,Porto,2,5,A,0,2,A,12.0,5.0,1.29,,1,A,0,3,-3,7,A,-2,2
P1,2011-09-09,Porto,Setubal,3,0,H,0,0,D,1.14,7.0,21.0,,4,H,3,0,3,3,D,0,0
