league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2018-08-10,Benfica,Guimaraes,3,2,H,3,0,H,9,9,7,5,5,2,15,24,0,4,0,0,,4,H,3,0,1,5,H,3,3,0,40
P1,2018-08-11,Porto,Chaves,5,0,H,3,0,H,14,2,6,0,7,0,11,12,0,2,0,1,,5,H,3,0,5,5,H,3,3,0,45
P1,2018-08-11,Setubal,Aves,2,0,H,1,0,H,13,2,5,1,9,3,17,16,2,3,0,2,,5,H,3,0,2,2,H,1,1,20,80
P1,2018-08-11,Tondela,Belenenses,0,1,A,0,0,D,14,6,4,3,10,5,15,13,2,2,1,0,,5,A,0,3,-1,1,D,0,0,45,20
P1,2018-08-12,Feirense,Rio Ave,2,0,H,2,0,H,12,7,5,1,3,4,17,9,1,2,0,0,,6,H,3,0,2,2,H,2,2,10,20
P1,2018-08-12,Maritimo,Santa Clara,1,0,H,0,0,D,10,9,4,5,7,3,16,9,0,3,0,0,,6,H,3,0,1,1,D,0,0,0,30
P1,2018-08-12,Moreirense,Sp Lisbon,1,3,A,1,1,D,3,6,3,4,6,4,21,15,5,5,0,0,,6,A,0,3,-2,4,D,0,2,50,50
P1,2018-08-12,Sp Braga,Nacional,4,2,H,2,2,D,16,10,12,8,4,2,10,15,1,3,0,0,,6,H,3,0,2,6,D,0,4,10,30
P1,2018-08-13,Portimonense,Boavista,0,2,A,0,0,D,8,9,3,4,9,4,19,27,1,4,0,0,,0,A,0,3,-2,2,D,0,0,10,40
P1,2018-08-17,Aves,Tondela,2,2,D,1,1,D,16,12,6,5,5,9,15,13,3,3,0,0,,4,D,1,1,0,4,D,0,2,30,30
P1,2018-08-18,Boavista,Benfica,0,2,A,0,1,A,4,17,1,8,2,9,12,21,4,1,0,0,,5,A,0,3,-2,2,A,-1,1,40,10
P1,2018-08-18,Chaves,Portimonense,2,0,H,2,0,H,12,9,5,2,2,11,16,21,3,4,0,0,,5,H,3,0,2,2,H,2,2,30,40
P1,2018-08-18,Sp Lisbon,Setubal,2,1,H,1,1,D,17,9,5,3,7,3,20,29,2,5,0,0,,5,H,3,0,1,3,D,0,2,20,50
P1,2018-08-19,Belenenses,Porto,2,3,A,0,1,A,12,16,5,6,6,5,17,11,2,3,0,0,,6,A,0,3,-1,5,A,-1,1,20,30
P1,2018-08-19,Nacional,Moreirense,1,2,A,0,1,A,17,14,8,8,8,2,11,24,0,5,0,0,,6,A,0,3,-1,3,A,-1,1,0,50
P1,2018-08-19,Rio Ave,Maritimo,3,1,H,2,0,H,13,16,5,4,4,3,11,23,1,3,0,0,,6,H,3,0,2,4,H,2,2,10,30
P1,2018-08-19,Santa Clara,Sp Braga,3,3,D,0,3,A,12,14,8,8,5,4,13,8,2,3,0,0,,6,D,1,1,0,6,A,-3,3,20,30
P1,2018-08-20,Guimaraes,Feirense,0,1,A,0,0,D,10,7,3,4,8,5,17,21,1,3,0,0,,0,A,0,3,-1,1,D,0,0,10,30
P1,2018-08-24,Maritimo,Chaves,2,1,H,0,1,A,13,10,6,3,5,2,12,9,4,4,0,0,,4,H,3,0,1,3,A,-1,1,40,40
P1,2018-08-25,Benfica,Sp Lisbon,1,1,D,0,0,D,19,11,10,4,11,1,14,17,4,5,0,0,,5,D,1,1,0,2,D,0,0,40,50
P1,2018-08-25,Portimonense,Santa Clara,2,2,D,0,1,A,26,9,11,3,6,5,13,23,0,3,0,0,,5,D,1,1,0,4,A,-1,1,0,30
P1,2018-08-25,Porto,Guimaraes,2,3,A,2,0,H,18,8,10,3,8,3,16,12,3,2,0,0,,5,A,0,3,-1,5,H,2,2,30,20
P1,2018-08-26,Feirense,Boavista,1,1,D,0,1,A,17,7,5,4,4,1,15,25,2,5,0,1,,6,D,1,1,0,2,A,-1,1,20,75
P1,2018-08-26,Setubal,Nacional,1,2,A,0,1,A,11,11,4,4,4,2,17,26,4,5,1,0,,6,A,0,3,-1,3,A,-1,1,65,50
P1,2018-08-26,Sp Braga,Aves,3,1,H,0,0,D,20,8,6,4,9,1,12,18,1,4,0,0,,6,H,3,0,2,4,D,0,0,10,40
P1,2018-08-26,Tondela,Rio Ave,1,1,D,0,1,A,12,14,5,4,3,7,23,6,2,2,1,0,,6,D,1,1,0,2,A,-1,1,45,20
P1,2018-08-27,Moreirense,Belenenses,1,1,D,0,0,D,17,9,7,3,8,1,22,11,2,2,0,0,,0,D,1,1,0,2,D,0,0,20,20
P1,2018-08-31,Chaves,Sp Braga,0,1,A,0,1,A,17,9,2,3,9,4,19,22,2,5,0,0,,4,A,0,3,-1,1,A,-1,1,20,50
P1,2018-08-31,Guimaraes,Tondela,1,0,H,1,0,H,6,9,2,3,2,10,18,17,2,1,0,1,,4,H,3,0,1,1,H,1,1,20,35
P1,2018-09-01,Belenenses,Setubal,0,0,D,0,0,D,8,6,4,2,2,5,20,13,0,1,0,0,,5,D,1,1,0,0,D,0,0,0,10
P1,2018-09-01,Santa Clara,Boavista,4,2,H,1,1,D,11,15,5,6,9,6,22,19,4,3,0,0,,5,H,3,0,2,6,D,0,2,40,30
P1,2018-09-01,Sp Lisbon,Feirense,1,0,H,0,0,D,26,6,12,2,9,0,21,15,4,6,0,0,,5,H,3,0,1,1,D,0,0,40,60
P1,2018-09-02,Aves,Maritimo,0,1,A,0,1,A,12,16,2,3,4,4,22,15,2,3,0,0,,6,A,0,3,-1,1,A,-1,1,20,30
P1,2018-09-02,Nacional,Benfica,0,4,A,0,2,A,5,16,2,7,2,5,7,15,1,3,0,0,,6,A,0,3,-4,4,A,-2,2,10,30
P1,2018-09-02,Porto,Moreirense,3,0,H,2,0,H,15,7,5,3,11,4,16,11,2,1,0,0,,6,H,3,0,3,3,H,2,2,20,10
P1,2018-09-02,Rio Ave,Portimonense,2,1,H,0,1,A,22,11,5,4,8,3,13,16,3,2,0,2,,6,H,3,0,1,3,A,-1,1,30,70
P1,2018-09-21,Boavista,Chaves,1,2,A,0,1,A,19,7,4,3,10,2,15,17,3,4,0,0,,4,A,0,3,-1,3,A,-1,1,30,40
P1,2018-09-22,Maritimo,Belenenses,0,0,D,0,0,D,10,16,3,5,7,9,12,16,1,1,0,0,,5,D,1,1,0,0,D,0,0,10,10
P1,2018-09-22,Santa Clara,Rio Ave,1,3,A,0,0,D,20,10,8,4,11,3,22,12,2,4,1,1,,5,A,0,3,-2,4,D,0,0,45,65
P1,2018-09-22,Setubal,Porto,0,2,A,0,1,A,10,11,2,4,6,2,13,16,1,2,0,0,,5,A,0,3,-2,2,A,-1,1,10,20
P1,2018-09-23,Benfica,Aves,2,0,H,1,0,H,26,12,7,4,13,3,15,18,1,4,0,0,,6,H,3,0,2,2,H,1,1,10,40
P1,2018-09-23,Feirense,Nacional,0,0,D,0,0,D,4,10,0,2,4,3,14,25,2,2,0,0,,6,D,1,1,0,0,D,0,0,20,20
P1,2018-09-23,Portimonense,Guimaraes,3,2,H,1,0,H,13,9,6,3,5,6,19,12,2,4,0,0,,6,H,3,0,1,5,H,1,1,20,40
P1,2018-09-23,Tondela,Moreirense,2,0,H,1,0,H,9,12,4,0,0,6,17,15,0,0,0,0,,6,H,3,0,2,2,H,1,1,0,0
P1,2018-09-24,Sp Braga,Sp Lisbon,1,0,H,0,0,D,13,12,4,3,5,4,10,11,1,2,0,0,,0,H,3,0,1,1,D,0,0,10,20
P1,2018-09-27,Chaves,Benfica,2,2,D,0,1,A,10,12,5,5,3,3,12,21,3,1,0,1,,3,D,1,1,0,4,A,-1,1,30,35
P1,2018-09-28,Porto,Tondela,1,0,H,0,0,D,31,7,9,0,11,2,19,22,3,5,0,0,,4,H,3,0,1,1,D,0,0,30,50
P1,2018-09-29,Moreirense,Feirense,1,0,H,0,0,D,19,6,5,2,7,6,22,16,1,2,0,0,,5,H,3,0,1,1,D,0,0,10,20
P1,2018-09-29,Rio Ave,Boavista,2,1,H,2,0,H,19,15,4,5,7,9,16,18,2,3,0,1,,5,H,3,0,1,3,H,2,2,20,55
P1,2018-09-29,Sp Lisbon,Maritimo,2,0,H,2,0,H,12,7,3,1,4,1,14,14,2,3,0,0,,5,H,3,0,2,2,H,2,2,20,30
P1,2018-09-30,Belenenses,Sp Braga,0,3,A,0,2,A,8,18,0,8,6,4,10,7,4,0,0,0,,6,A,0,3,-3,3,A,-2,2,40,0
P1,2018-09-30,Guimaraes,Setubal,1,1,D,0,0,D,14,15,5,4,3,3,15,16,2,3,0,0,,6,D,1,1,0,2,D,0,0,20,30
P1,2018-09-30,Nacional,Santa Clara,0,3,A,0,1,A,12,12,1,4,6,10,7,18,1,2,0,0,,6,A,0,3,-3,3,A,-1,1,10,20
P1,2018-10-01,Aves,Portimonense,3,0,H,1,0,H,12,17,4,2,6,5,12,10,2,1,0,0,,0,H,3,0,3,3,H,1,1,20,10
P1,2018-10-05,Feirense,Belenenses,0,0,D,0,0,D,11,9,1,1,10,2,18,17,3,2,0,0,,4,D,1,1,0,0,D,0,0,30,20
P1,2018-10-05,Santa Clara,Chaves,1,0,H,0,0,D,12,8,4,2,7,7,17,9,2,1,0,0,,4,H,3,0,1,1,D,0,0,20,10
P1,2018-10-05,Tondela,Nacional,1,1,D,0,0,D,16,16,3,4,3,7,11,10,1,2,0,0,,4,D,1,1,0,2,D,0,0,10,20
P1,2018-10-06,Maritimo,Guimaraes,1,3,A,0,1,A,20,15,5,6,7,6,15,10,1,0,0,0,,5,A,0,3,-2,4,A,-1,1,10,0
P1,2018-10-06,Setubal,Moreirense,3,0,H,1,0,H,12,11,5,3,3,2,23,20,2,3,0,2,,5,H,3,0,3,3,H,1,1,20,80
P1,2018-10-06,Sp Braga,Rio Ave,1,1,D,1,1,D,13,8,5,3,4,7,26,11,4,4,1,0,,5,D,1,1,0,2,D,0,2,65,40
P1,2018-10-07,Benfica,Porto,1,0,H,0,0,D,10,11,2,1,2,4,24,20,4,5,1,0,,6,H,3,0,1,1,D,0,0,65,50
P1,2018-10-07,Boavista,Aves,1,0,H,0,0,D,20,11,5,2,11,4,12,23,3,4,0,0,,6,H,3,0,1,1,D,0,0,30,40
P1,2018-10-07,Portimonense,Sp Lisbon,4,2,H,2,0,H,12,17,6,5,5,5,22,14,5,1,0,0,,6,H,3,0,2,6,H,2,2,50,10
P1,2018-10-26,Guimaraes,Sp Braga,1,1,D,1,1,D,13,15,4,1,7,4,18,12,1,2,0,0,,4,D,1,1,0,2,D,0,2,10,20
P1,2018-10-26,Nacional,Portimonense,0,1,A,0,1,A,8,7,3,2,1,1,10,17,1,1,0,0,,4,A,0,3,-1,1,A,-1,1,10,10
P1,2018-10-27,Aves,Santa Clara,1,2,A,0,2,A,17,9,6,4,8,9,18,15,2,2,0,1,,5,A,0,3,-1,3,A,-2,2,20,45
P1,2018-10-27,Belenenses,Benfica,2,0,H,2,0,H,7,24,6,7,5,11,14,13,2,2,0,0,,5,H,3,0,2,2,H,2,2,20,20
P1,2018-10-27,Rio Ave,Chaves,1,0,H,0,0,D,7,12,5,2,3,8,18,23,3,3,0,0,,5,H,3,0,1,1,D,0,0,30,30
P1,2018-10-28,Moreirense,Maritimo,1,0,H,0,0,D,19,11,5,2,4,4,15,11,1,2,0,0,,6,H,3,0,1,1,D,0,0,10,20
P1,2018-10-28,Porto,Feirense,2,0,H,1,0,H,17,6,7,3,4,6,21,11,1,3,0,0,,6,H,3,0,2,2,H,1,1,10,30
P1,2018-10-28,Sp Lisbon,Boavista,3,0,H,1,0,H,21,10,9,1,9,4,12,13,2,3,0,0,,6,H,3,0,3,3,H,1,1,20,30
P1,2018-10-28,Tondela,Setubal,1,2,A,0,1,A,10,9,6,3,7,6,18,24,3,3,0,0,,6,A,0,3,-1,3,A,-1,1,30,30
P1,2018-11-02,Benfica,Moreirense,1,3,A,1,3,A,21,9,8,4,8,2,17,12,2,3,1,0,,4,A,0,3,-2,4,A,-2,4,45,30
P1,2018-11-03,Boavista,Guimaraes,0,0,D,0,0,D,7,20,3,4,7,11,25,13,3,4,0,0,,5,D,1,1,0,0,D,0,0,30,40
P1,2018-11-03,Maritimo,Porto,0,2,A,0,0,D,6,15,2,4,4,11,16,15,4,2,1,0,,5,A,0,3,-2,2,D,0,0,65,20
P1,2018-11-03,Portimonense,Belenenses,1,1,D,0,0,D,12,8,3,1,1,6,19,10,2,3,0,0,,5,D,1,1,0,2,D,0,0,20,30
P1,2018-11-04,Feirense,Tondela,2,4,A,1,1,D,12,15,5,7,7,5,17,22,4,3,0,0,,6,A,0,3,-2,6,D,0,2,40,30
P1,2018-11-04,Santa Clara,Sp Lisbon,1,2,A,1,0,H,8,18,1,7,3,7,10,7,2,3,1,0,,6,A,0,3,-1,3,H,1,1,45,30
P1,2018-11-04,Sp Braga,Setubal,2,1,H,2,1,H,17,13,3,5,2,5,18,20,1,3,0,0,,6,H,3,0,1,3,H,1,3,10,30
P1,2018-11-05,Chaves,Aves,1,2,A,0,1,A,13,11,2,5,6,4,10,15,3,3,0,0,,0,A,0,3,-1,3,A,-1,1,30,30
P1,2018-11-05,Rio Ave,Nacional,3,3,D,2,1,H,13,13,5,6,3,3,13,17,2,5,0,0,,0,D,1,1,0,6,H,1,3,20,50
P1,2018-11-09,Moreirense,Portimonense,2,0,H,1,0,H,12,12,4,4,8,6,17,15,2,1,0,0,,4,H,3,0,2,2,H,1,1,20,10
P1,2018-11-09,Setubal,Feirense,2,1,H,1,1,D,10,6,2,1,7,3,20,20,4,4,0,0,,4,H,3,0,1,3,D,0,2,40,40
P1,2018-11-10,Aves,Rio Ave,2,1,H,2,0,H,19,11,8,5,13,4,22,11,3,3,0,1,,5,H,3,0,1,3,H,2,2,30,55
