,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
440,P1,2021-01-30,15:30,Nacional,Famalicao,2,1,H,0,1,A,17,14,8,4,9,3,22,15,5,1,0,0,15,5,H,3,0,1,3,A,-1,1,50,10,cleanP1_2021
441,P1,2021-01-30,18:00,Tondela,Farense,2,0,H,0,0,D,7,10,2,2,5,5,23,16,5,1,0,0,18,5,H,3,0,2,2,D,0,0,50,10,cleanP1_2021
442,P1,2021-01-30,20:30,Portimonense,Boavista,1,2,A,1,1,D,9,11,2,6,4,2,18,18,3,3,0,0,20,5,A,0,3,-1,3,D,0,2,30,30,cleanP1_2021
443,P1,2021-01-31,15:00,Guimaraes,Maritimo,1,0,H,0,0,D,13,9,4,5,7,1,23,18,2,2,0,0,15,6,H,3,0,1,1,D,0,0,20,20,cleanP1_2021
447,P1,2021-02-01,21:30,Sp Lisbon,Benfica,1,0,H,0,0,D,10,5,2,2,8,1,12,17,3,5,0,0,21,0,H,3,0,1,1,D,0,0,30,50,cleanP1_2021
446,P1,2021-02-01,19:45,Moreirense,Sp Braga,0,4,A,0,3,A,14,14,4,7,5,5,8,20,2,1,0,0,19,0,A,0,3,-4,4,A,-3,3,20,10,cleanP1_2021
445,P1,2021-02-01,19:00,Porto,Rio Ave,2,0,H,1,0,H,14,8,5,2,7,8,19,11,1,2,0,0,19,0,H,3,0,2,2,H,1,1,10,20,cleanP1_2021
444,P1,2021-02-01,17:00,Santa Clara,Belenenses,2,0,H,1,0,H,9,11,3,1,2,2,23,20,3,2,0,0,17,0,H,3,0,2,2,H,1,1,30,20,cleanP1_2021
448,P1,2021-02-02,20:15,Gil Vicente,Pacos Ferreira,1,2,A,0,2,A,3,9,3,6,8,3,16,21,3,5,0,0,20,1,A,0,3,-1,3,A,-2,2,30,50,cleanP1_2021
452,P1,2021-02-04,21:30,Famalicao,Moreirense,0,2,A,0,2,A,19,10,2,3,5,3,10,29,2,5,1,0,21,3,A,0,3,-2,2,A,-2,2,45,50,cleanP1_2021
449,P1,2021-02-04,15:00,Farense,Santa Clara,1,1,D,1,0,H,16,11,4,3,11,7,15,17,0,3,0,0,15,3,D,1,1,0,2,H,1,1,0,30,cleanP1_2021
450,P1,2021-02-04,19:00,Belenenses,Porto,0,0,D,0,0,D,6,16,0,6,2,10,12,13,4,2,0,0,19,3,D,1,1,0,0,D,0,0,40,20,cleanP1_2021
451,P1,2021-02-04,21:00,Sp Braga,Portimonense,2,1,H,0,1,A,16,7,4,5,4,1,12,21,0,2,0,0,21,3,H,3,0,1,3,A,-1,1,0,20,cleanP1_2021
455,P1,2021-02-05,19:00,Maritimo,Sp Lisbon,0,2,A,0,1,A,5,19,0,4,2,5,19,22,2,1,0,0,19,4,A,0,3,-2,2,A,-1,1,20,10,cleanP1_2021
456,P1,2021-02-05,21:00,Boavista,Gil Vicente,1,2,A,1,1,D,16,12,5,5,3,5,11,24,2,3,0,0,21,4,A,0,3,-1,3,D,0,2,20,30,cleanP1_2021
453,P1,2021-02-05,17:00,Rio Ave,Nacional,0,0,D,0,0,D,15,18,4,7,5,3,14,25,2,2,0,0,17,4,D,1,1,0,0,D,0,0,20,20,cleanP1_2021
454,P1,2021-02-05,19:00,Benfica,Guimaraes,0,0,D,0,0,D,22,5,5,2,9,2,14,19,1,2,0,0,19,4,D,1,1,0,0,D,0,0,10,20,cleanP1_2021
457,P1,2021-02-05,21:00,Pacos Ferreira,Tondela,2,1,H,1,0,H,9,8,3,3,3,3,23,14,2,1,0,0,21,4,H,3,0,1,3,H,1,1,20,10,cleanP1_2021
458,P1,2021-02-07,20:45,Sp Braga,Porto,2,2,D,0,1,A,15,10,5,3,6,5,18,18,3,3,0,1,20,6,D,1,1,0,4,A,-1,1,30,55,cleanP1_2021
461,P1,2021-02-08,19:00,Maritimo,Santa Clara,1,2,A,0,0,D,16,8,5,3,3,5,20,22,1,3,0,0,19,0,A,0,3,-1,3,D,0,0,10,30,cleanP1_2021
462,P1,2021-02-08,21:00,Belenenses,Guimaraes,1,1,D,1,1,D,10,9,4,4,4,7,12,13,3,2,0,0,21,0,D,1,1,0,2,D,0,2,30,20,cleanP1_2021
459,P1,2021-02-08,17:00,Farense,Moreirense,1,2,A,0,1,A,15,6,4,3,10,1,19,13,4,3,0,0,17,0,A,0,3,-1,3,A,-1,1,40,30,cleanP1_2021
460,P1,2021-02-08,19:00,Benfica,Famalicao,2,0,H,2,0,H,13,10,5,5,4,1,22,12,3,2,0,0,19,0,H,3,0,2,2,H,2,2,30,20,cleanP1_2021
463,P1,2021-02-09,15:00,Pacos Ferreira,Portimonense,0,0,D,0,0,D,6,14,1,3,3,2,12,9,2,1,0,0,15,1,D,1,1,0,0,D,0,0,20,10,cleanP1_2021
464,P1,2021-02-09,17:00,Rio Ave,Tondela,2,1,H,0,1,A,6,11,2,5,2,3,13,10,4,2,0,0,17,1,H,3,0,1,3,A,-1,1,40,20,cleanP1_2021
465,P1,2021-02-09,19:00,Boavista,Nacional,0,1,A,0,1,A,20,7,2,1,6,1,15,23,2,4,1,0,19,1,A,0,3,-1,1,A,-1,1,45,40,cleanP1_2021
466,P1,2021-02-09,21:00,Gil Vicente,Sp Lisbon,1,2,A,1,0,H,6,21,2,5,1,4,19,6,4,1,0,0,21,1,A,0,3,-1,3,H,1,1,40,10,cleanP1_2021
467,P1,2021-02-12,20:30,Famalicao,Belenenses,0,0,D,0,0,D,8,20,5,11,4,5,14,21,3,4,0,0,20,4,D,1,1,0,0,D,0,0,30,40,cleanP1_2021
468,P1,2021-02-13,15:30,Nacional,Farense,2,3,A,0,0,D,10,9,4,4,6,10,14,16,4,2,0,0,15,5,A,0,3,-1,5,D,0,0,40,20,cleanP1_2021
469,P1,2021-02-13,18:00,Guimaraes,Rio Ave,1,3,A,0,2,A,15,5,7,3,11,0,15,17,2,2,0,0,18,5,A,0,3,-2,4,A,-2,2,20,20,cleanP1_2021
470,P1,2021-02-13,20:30,Porto,Boavista,2,2,D,0,2,A,17,4,6,4,7,2,14,26,2,4,0,0,20,5,D,1,1,0,4,A,-2,2,20,40,cleanP1_2021
471,P1,2021-02-14,15:00,Portimonense,Gil Vicente,4,1,H,2,1,H,11,9,4,3,6,4,22,13,2,0,0,0,15,6,H,3,0,3,5,H,1,3,20,0,cleanP1_2021
472,P1,2021-02-14,17:30,Santa Clara,Sp Braga,0,1,A,0,1,A,9,8,2,3,9,3,17,18,3,2,0,0,17,6,A,0,3,-1,1,A,-1,1,30,20,cleanP1_2021
473,P1,2021-02-14,20:15,Moreirense,Benfica,1,1,D,1,1,D,8,18,3,8,3,9,17,15,2,3,0,0,20,6,D,1,1,0,2,D,0,2,20,30,cleanP1_2021
474,P1,2021-02-15,20:15,Sp Lisbon,Pacos Ferreira,2,0,H,1,0,H,7,7,3,2,2,4,27,20,5,3,0,0,20,0,H,3,0,2,2,H,1,1,50,30,cleanP1_2021
475,P1,2021-02-16,17:45,Tondela,Maritimo,2,1,H,1,1,D,13,5,6,3,2,1,22,19,4,5,0,0,17,1,H,3,0,1,3,D,0,2,40,50,cleanP1_2021
476,P1,2021-02-17,21:45,Guimaraes,Farense,2,2,D,2,1,H,15,8,3,3,8,4,14,17,0,3,0,1,21,2,D,1,1,0,4,H,1,3,0,55,cleanP1_2021
477,P1,2021-02-19,20:30,Boavista,Moreirense,1,0,H,0,0,D,11,8,6,1,10,5,14,19,3,2,0,0,20,4,H,3,0,1,1,D,0,0,30,20,cleanP1_2021
478,P1,2021-02-20,15:30,Belenenses,Nacional,2,1,H,1,1,D,16,13,4,4,9,1,16,12,3,1,0,0,15,5,H,3,0,1,3,D,0,2,30,10,cleanP1_2021
479,P1,2021-02-20,17:30,Gil Vicente,Santa Clara,1,0,H,0,0,D,10,10,3,1,6,4,16,15,4,3,0,0,17,5,H,3,0,1,1,D,0,0,40,30,cleanP1_2021
480,P1,2021-02-20,20:30,Sp Lisbon,Portimonense,2,0,H,2,0,H,14,7,7,1,5,4,15,19,0,3,0,0,20,5,H,3,0,2,2,H,2,2,0,30,cleanP1_2021
481,P1,2021-02-21,15:00,Pacos Ferreira,Guimaraes,2,1,H,1,1,D,8,10,3,3,3,3,10,14,0,2,0,0,15,6,H,3,0,1,3,D,0,2,0,20,cleanP1_2021
482,P1,2021-02-21,15:00,Rio Ave,Famalicao,0,1,A,0,1,A,5,8,1,5,4,8,9,20,1,3,1,0,15,6,A,0,3,-1,1,A,-1,1,35,30,cleanP1_2021
483,P1,2021-02-21,18:00,Sp Braga,Tondela,4,2,H,3,0,H,19,8,7,3,8,2,15,12,0,2,0,0,18,6,H,3,0,2,6,H,3,3,0,20,cleanP1_2021
484,P1,2021-02-21,20:15,Farense,Benfica,0,0,D,0,0,D,8,15,3,2,4,7,18,19,2,2,0,0,20,6,D,1,1,0,0,D,0,0,20,20,cleanP1_2021
485,P1,2021-02-22,19:00,Maritimo,Porto,1,2,A,1,1,D,12,14,7,6,3,3,21,18,6,2,0,0,19,0,A,0,3,-1,3,D,0,2,60,20,cleanP1_2021
486,P1,2021-02-26,20:30,Guimaraes,Boavista,2,1,H,1,1,D,18,7,9,2,10,1,26,13,2,4,0,0,20,4,H,3,0,1,3,D,0,2,20,40,cleanP1_2021
487,P1,2021-02-27,15:30,Famalicao,Farense,0,0,D,0,0,D,11,10,3,1,5,4,18,17,2,6,0,1,15,5,D,1,1,0,0,D,0,0,20,85,cleanP1_2021
488,P1,2021-02-27,18:00,Santa Clara,Pacos Ferreira,3,0,H,2,0,H,7,17,4,4,2,13,11,10,1,0,0,0,18,5,H,3,0,3,3,H,2,2,10,0,cleanP1_2021
489,P1,2021-02-27,20:30,Porto,Sp Lisbon,0,0,D,0,0,D,14,4,3,0,3,1,20,16,1,2,0,0,20,5,D,1,1,0,0,D,0,0,10,20,cleanP1_2021
492,P1,2021-02-28,20:00,Nacional,Sp Braga,1,2,A,0,2,A,8,15,2,4,2,5,7,11,1,0,0,0,20,6,A,0,3,-1,3,A,-2,2,10,0,cleanP1_2021
490,P1,2021-02-28,15:00,Portimonense,Maritimo,0,0,D,0,0,D,7,11,1,4,6,4,22,11,1,2,0,0,15,6,D,1,1,0,0,D,0,0,10,20,cleanP1_2021
491,P1,2021-02-28,17:30,Tondela,Gil Vicente,1,0,H,1,0,H,16,13,6,2,6,8,13,10,1,0,0,1,17,6,H,3,0,1,1,H,1,1,10,25,cleanP1_2021
493,P1,2021-03-01,19:00,Benfica,Rio Ave,2,0,H,0,0,D,17,11,6,5,6,6,17,10,1,0,0,0,19,0,H,3,0,2,2,D,0,0,10,0,cleanP1_2021
494,P1,2021-03-01,20:15,Moreirense,Belenenses,2,2,D,2,1,H,11,13,5,5,4,5,14,12,3,2,0,0,20,0,D,1,1,0,4,H,1,3,30,20,cleanP1_2021
495,P1,2021-03-05,18:30,Pacos Ferreira,Nacional,2,1,H,2,0,H,12,10,3,4,5,4,20,18,3,4,0,0,18,4,H,3,0,1,3,H,2,2,30,40,cleanP1_2021
496,P1,2021-03-05,20:45,Sp Lisbon,Santa Clara,2,1,H,1,0,H,6,6,4,2,4,8,18,24,1,2,0,0,20,4,H,3,0,1,3,H,1,1,10,20,cleanP1_2021
497,P1,2021-03-06,15:30,Portimonense,Tondela,3,0,H,2,0,H,10,12,5,3,3,3,9,7,1,1,0,0,15,5,H,3,0,3,3,H,2,2,10,10,cleanP1_2021
498,P1,2021-03-06,18:00,Gil Vicente,Porto,0,2,A,0,1,A,9,11,1,6,4,10,14,11,0,0,0,0,18,5,A,0,3,-2,2,A,-1,1,0,0,cleanP1_2021
499,P1,2021-03-06,20:30,Boavista,Famalicao,3,0,H,1,0,H,11,12,4,2,2,7,12,18,2,2,0,1,20,5,H,3,0,3,3,H,1,1,20,45,cleanP1_2021
500,P1,2021-03-07,17:30,Maritimo,Moreirense,0,2,A,0,1,A,15,16,6,5,5,2,19,13,3,2,0,0,17,6,A,0,3,-2,2,A,-1,1,30,20,cleanP1_2021
501,P1,2021-03-07,20:00,Rio Ave,Farense,2,0,H,1,0,H,10,6,4,1,4,6,19,18,2,2,0,0,20,6,H,3,0,2,2,H,1,1,20,20,cleanP1_2021
502,P1,2021-03-08,20:15,Belenenses,Benfica,0,3,A,0,0,D,10,11,3,6,4,5,9,12,1,0,0,0,20,0,A,0,3,-3,3,D,0,0,10,0,cleanP1_2021
503,P1,2021-03-09,21:45,Sp Braga,Guimaraes,3,0,H,2,0,H,8,14,4,1,3,12,16,14,1,2,0,0,21,1,H,3,0,3,3,H,2,2,10,20,cleanP1_2021
504,P1,2021-03-12,20:30,Nacional,Maritimo,1,2,A,1,0,H,17,14,7,3,8,6,20,21,4,4,0,0,20,4,A,0,3,-1,3,H,1,1,40,40,cleanP1_2021
508,P1,2021-03-13,20:30,Tondela,Sp Lisbon,0,1,A,0,0,D,4,14,2,4,3,5,17,14,3,1,0,1,20,5,A,0,3,-1,1,D,0,0,30,35,cleanP1_2021
507,P1,2021-03-13,18:00,Santa Clara,Portimonense,2,0,H,1,0,H,18,11,5,4,6,2,12,21,2,4,0,0,18,5,H,3,0,2,2,H,1,1,20,40,cleanP1_2021
505,P1,2021-03-13,15:30,Farense,Belenenses,0,1,A,0,0,D,13,8,4,4,6,2,18,13,1,4,0,0,15,5,A,0,3,-1,1,D,0,0,10,40,cleanP1_2021
506,P1,2021-03-13,18:00,Benfica,Boavista,2,0,H,1,0,H,17,3,7,0,13,3,12,7,2,0,0,1,18,5,H,3,0,2,2,H,1,1,20,25,cleanP1_2021
509,P1,2021-03-14,15:00,Moreirense,Rio Ave,1,1,D,0,1,A,9,13,2,2,7,5,12,15,2,4,0,0,15,6,D,1,1,0,2,A,-1,1,20,40,cleanP1_2021
510,P1,2021-03-14,17:30,Guimaraes,Gil Vicente,2,4,A,1,3,A,20,11,8,8,8,6,20,13,3,3,1,0,17,6,A,0,3,-2,6,A,-2,4,55,30,cleanP1_2021
511,P1,2021-03-14,20:00,Porto,Pacos Ferreira,2,0,H,0,0,D,16,2,5,2,10,2,11,13,1,2,0,0,20,6,H,3,0,2,2,D,0,0,10,20,cleanP1_2021
512,P1,2021-03-15,20:15,Famalicao,Sp Braga,2,2,D,1,2,A,17,9,5,3,2,4,20,12,3,2,0,0,20,0,D,1,1,0,4,A,-1,3,30,20,cleanP1_2021
513,P1,2021-03-19,20:30,Gil Vicente,Nacional,2,0,H,0,0,D,10,9,4,1,3,3,19,15,3,3,1,1,20,4,H,3,0,2,2,D,0,0,55,55,cleanP1_2021
516,P1,2021-03-20,18:00,Portimonense,Porto,1,2,A,0,1,A,8,12,3,3,2,4,14,10,4,2,1,0,18,5,A,0,3,-1,3,A,-1,1,65,20,cleanP1_2021
514,P1,2021-03-20,15:30,Pacos Ferreira,Moreirense,3,0,H,3,0,H,14,9,8,0,5,10,15,6,4,1,0,0,15,5,H,3,0,3,3,H,3,3,40,10,cleanP1_2021
515,P1,2021-03-20,15:30,Santa Clara,Tondela,1,1,D,0,1,A,16,5,5,4,6,4,15,15,4,1,2,0,15,5,D,1,1,0,2,A,-1,1,90,10,cleanP1_2021
517,P1,2021-03-20,20:30,Sp Lisbon,Guimaraes,1,0,H,1,0,H,10,4,4,1,5,6,10,14,2,1,0,0,20,5,H,3,0,1,1,H,1,1,20,10,cleanP1_2021
521,P1,2021-03-21,20:00,Sp Braga,Benfica,0,2,A,0,1,A,8,10,3,5,2,1,9,17,2,4,1,0,20,6,A,0,3,-2,2,A,-1,1,45,40,cleanP1_2021
520,P1,2021-03-21,17:30,Maritimo,Famalicao,0,4,A,0,2,A,8,13,2,7,5,1,13,15,3,2,0,0,17,6,A,0,3,-4,4,A,-2,2,30,20,cleanP1_2021
518,P1,2021-03-21,15:00,Rio Ave,Belenenses,0,0,D,0,0,D,19,6,7,3,9,2,18,14,3,0,0,1,15,6,D,1,1,0,0,D,0,0,30,25,cleanP1_2021
519,P1,2021-03-21,17:30,Boavista,Farense,0,1,A,0,1,A,14,19,5,8,5,9,23,21,2,1,0,0,17,6,A,0,3,-1,1,A,-1,1,20,10,cleanP1_2021
522,P1,2021-04-02,20:30,Nacional,Portimonense,1,5,A,0,2,A,12,18,2,10,6,6,7,17,3,1,0,0,20,4,A,0,3,-4,6,A,-2,2,30,10,cleanP1_2021
523,P1,2021-04-03,18:00,Rio Ave,Gil Vicente,0,2,A,0,0,D,10,8,3,3,4,6,12,15,3,3,1,0,18,5,A,0,3,-2,2,D,0,0,55,30,cleanP1_2021
524,P1,2021-04-03,20:30,Porto,Santa Clara,2,1,H,0,0,D,17,5,6,3,7,5,17,23,3,3,0,0,20,5,H,3,0,1,3,D,0,0,30,30,cleanP1_2021
525,P1,2021-04-04,15:00,Belenenses,Boavista,0,2,A,0,1,A,10,10,2,6,5,4,12,17,3,4,0,1,15,6,A,0,3,-2,2,A,-1,1,30,65,cleanP1_2021
526,P1,2021-04-04,17:30,Guimaraes,Tondela,1,2,A,1,1,D,16,10,6,3,11,5,12,10,2,0,0,0,17,6,A,0,3,-1,3,D,0,2,20,0,cleanP1_2021
527,P1,2021-04-04,20:00,Famalicao,Pacos Ferreira,2,0,H,1,0,H,16,3,6,0,6,3,15,15,2,5,0,1,20,6,H,3,0,2,2,H,1,1,20,75,cleanP1_2021
528,P1,2021-04-05,18:45,Farense,Sp Braga,1,2,A,1,1,D,18,14,9,2,4,5,12,14,0,1,0,0,18,0,A,0,3,-1,3,D,0,2,0,10,cleanP1_2021
529,P1,2021-04-05,19:00,Benfica,Maritimo,1,0,H,1,0,H,15,8,6,2,4,3,17,19,3,3,0,0,19,0,H,3,0,1,1,H,1,1,30,30,cleanP1_2021
530,P1,2021-04-05,21:00,Moreirense,Sp Lisbon,1,1,D,0,1,A,5,10,1,3,2,4,16,13,2,2,0,0,21,0,D,1,1,0,2,A,-1,1,20,20,cleanP1_2021
531,P1,2021-04-09,20:00,Portimonense,Guimaraes,3,0,H,1,0,H,7,10,3,3,3,8,16,10,2,2,0,0,20,4,H,3,0,3,3,H,1,1,20,20,cleanP1_2021
535,P1,2021-04-10,20:30,Pacos Ferreira,Benfica,0,5,A,0,3,A,2,15,1,9,1,11,8,14,1,5,1,0,20,5,A,0,3,-5,5,A,-3,3,35,50,cleanP1_2021
534,P1,2021-04-10,18:00,Tondela,Porto,0,2,A,0,1,A,7,13,2,6,1,6,19,21,4,1,0,0,18,5,A,0,3,-2,2,A,-1,1,40,10,cleanP1_2021
533,P1,2021-04-10,15:30,Boavista,Rio Ave,3,3,D,2,1,H,13,10,4,5,6,5,21,18,5,1,1,0,15,5,D,1,1,0,6,H,1,3,75,10,cleanP1_2021
532,P1,2021-04-10,15:00,Maritimo,Farense,1,0,H,1,0,H,9,14,2,2,6,12,15,19,4,3,0,0,15,5,H,3,0,1,1,H,1,1,40,30,cleanP1_2021
536,P1,2021-04-11,15:00,Gil Vicente,Moreirense,1,2,A,0,1,A,18,10,6,4,7,2,18,11,2,1,0,0,15,6,A,0,3,-1,3,A,-1,1,20,10,cleanP1_2021
537,P1,2021-04-11,15:30,Santa Clara,Nacional,5,1,H,2,0,H,16,10,9,3,3,3,18,18,2,3,0,0,15,6,H,3,0,4,6,H,2,2,20,30,cleanP1_2021
538,P1,2021-04-11,17:30,Sp Braga,Belenenses,1,1,D,1,0,H,14,9,4,2,9,7,12,13,4,3,0,0,17,6,D,1,1,0,2,H,1,1,40,30,cleanP1_2021
539,P1,2021-04-11,20:00,Sp Lisbon,Famalicao,1,1,D,1,1,D,16,2,5,2,6,5,13,18,3,3,0,0,20,6,D,1,1,0,2,D,0,2,30,30,cleanP1_2021
540,P1,2021-04-16,18:45,Boavista,Pacos Ferreira,2,0,H,2,0,H,9,13,4,2,0,8,8,10,3,1,0,0,18,4,H,3,0,2,2,H,2,2,30,10,cleanP1_2021
541,P1,2021-04-16,21:00,Farense,Sp Lisbon,0,1,A,0,1,A,8,12,3,4,7,9,13,11,1,2,0,0,21,4,A,0,3,-1,1,A,-1,1,10,20,cleanP1_2021
542,P1,2021-04-17,15:30,Guimaraes,Santa Clara,1,0,H,1,0,H,5,9,2,1,4,5,17,19,1,1,0,0,15,5,H,3,0,1,1,H,1,1,10,10,cleanP1_2021
543,P1,2021-04-17,15:30,Moreirense,Tondela,2,3,A,2,3,A,12,7,3,5,5,3,17,13,5,4,1,0,15,5,A,0,3,-1,5,A,-1,5,75,40,cleanP1_2021
544,P1,2021-04-17,18:00,Belenenses,Maritimo,2,0,H,1,0,H,6,21,4,6,2,11,26,12,4,3,0,0,18,5,H,3,0,2,2,H,1,1,40,30,cleanP1_2021
545,P1,2021-04-17,18:00,Benfica,Gil Vicente,1,2,A,0,1,A,19,8,1,2,5,5,7,10,1,1,0,0,18,5,A,0,3,-1,3,A,-1,1,10,10,cleanP1_2021
546,P1,2021-04-17,20:30,Rio Ave,Sp Braga,0,0,D,0,0,D,10,13,4,6,2,5,19,20,3,2,1,0,20,5,D,1,1,0,0,D,0,0,55,20,cleanP1_2021
548,P1,2021-04-18,17:30,Nacional,Porto,0,1,A,0,1,A,7,9,3,3,2,2,13,16,3,1,0,0,17,6,A,0,3,-1,1,A,-1,1,30,10,cleanP1_2021
547,P1,2021-04-18,15:00,Famalicao,Portimonense,0,1,A,0,1,A,18,9,2,4,5,4,15,19,1,5,0,0,15,6,A,0,3,-1,1,A,-1,1,10,50,cleanP1_2021
549,P1,2021-04-20,20:00,Pacos Ferreira,Farense,0,2,A,0,0,D,5,13,1,6,6,6,10,8,1,1,0,0,20,1,A,0,3,-2,2,D,0,0,10,10,cleanP1_2021
550,P1,2021-04-21,15:30,Santa Clara,Moreirense,0,0,D,0,0,D,18,6,5,3,8,5,17,9,5,3,0,0,15,2,D,1,1,0,0,D,0,0,50,30,cleanP1_2021
551,P1,2021-04-21,17:00,Maritimo,Rio Ave,1,0,H,1,0,H,6,15,2,1,4,10,13,15,0,0,0,0,17,2,H,3,0,1,1,H,1,1,0,0,cleanP1_2021
552,P1,2021-04-21,19:00,Sp Braga,Boavista,2,1,H,1,1,D,25,5,10,2,15,2,14,17,0,3,0,1,19,2,H,3,0,1,3,D,0,2,0,55,cleanP1_2021
553,P1,2021-04-21,21:15,Sp Lisbon,Belenenses,2,2,D,0,1,A,28,3,9,3,9,0,14,14,1,3,0,0,21,2,D,1,1,0,4,A,-1,1,10,30,cleanP1_2021
554,P1,2021-04-22,15:00,Tondela,Nacional,2,1,H,1,1,D,6,11,5,5,6,7,14,20,2,4,0,1,15,3,H,3,0,1,3,D,0,2,20,65,cleanP1_2021
555,P1,2021-04-22,17:00,Gil Vicente,Famalicao,0,3,A,0,0,D,10,14,5,5,6,5,11,11,1,2,1,0,17,3,A,0,3,-3,3,D,0,0,35,20,cleanP1_2021
556,P1,2021-04-22,19:00,Portimonense,Benfica,1,5,A,1,1,D,8,15,3,6,5,4,10,15,1,2,0,0,19,3,A,0,3,-4,6,D,0,2,10,20,cleanP1_2021
557,P1,2021-04-22,21:00,Porto,Guimaraes,1,0,H,0,0,D,15,4,7,1,8,4,9,7,1,0,0,0,21,3,H,3,0,1,1,D,0,0,10,0,cleanP1_2021
560,P1,2021-04-25,20:00,Sp Braga,Sp Lisbon,0,1,A,0,0,D,17,5,4,1,6,2,22,9,4,5,0,1,20,6,A,0,3,-1,1,D,0,0,40,75,cleanP1_2021
558,P1,2021-04-25,15:00,Boavista,Maritimo,0,1,A,0,0,D,9,10,3,3,3,8,10,17,2,1,0,0,15,6,A,0,3,-1,1,D,0,0,20,10,cleanP1_2021
559,P1,2021-04-25,17:30,Rio Ave,Pacos Ferreira,1,1,D,0,1,A,7,9,2,3,5,2,13,17,2,1,1,0,17,6,D,1,1,0,2,A,-1,1,45,10,cleanP1_2021
561,P1,2021-04-26,17:00,Belenenses,Gil Vicente,2,1,H,0,1,A,8,16,3,4,4,5,6,9,3,2,0,0,17,0,H,3,0,1,3,A,-1,1,30,20,cleanP1_2021
562,P1,2021-04-26,19:00,Benfica,Santa Clara,2,1,H,1,0,H,10,16,1,7,5,4,14,11,2,0,0,0,19,0,H,3,0,1,3,H,1,1,20,0,cleanP1_2021
563,P1,2021-04-26,19:00,Famalicao,Tondela,2,2,D,2,2,D,11,11,4,2,8,9,15,14,3,1,0,0,19,0,D,1,1,0,4,D,0,4,30,10,cleanP1_2021
564,P1,2021-04-26,19:00,Nacional,Guimaraes,1,0,H,1,0,H,8,6,6,1,6,4,20,16,3,3,0,0,19,0,H,3,0,1,1,H,1,1,30,30,cleanP1_2021
565,P1,2021-04-26,21:15,Moreirense,Porto,1,1,D,1,0,H,10,20,4,7,6,11,19,12,2,4,0,0,21,0,D,1,1,0,2,H,1,1,20,40,cleanP1_2021
566,P1,2021-04-27,21:45,Farense,Portimonense,1,1,D,1,0,H,10,17,3,6,8,5,12,16,2,2,0,0,21,1,D,1,1,0,2,H,1,1,20,20,cleanP1_2021
567,P1,2021-04-29,20:30,Maritimo,Sp Braga,1,0,H,0,0,D,7,12,2,4,2,8,13,11,5,2,0,0,20,3,H,3,0,1,1,D,0,0,50,20,cleanP1_2021
570,P1,2021-04-30,19:00,Tondela,Benfica,0,2,A,0,2,A,7,13,3,6,3,6,12,4,0,1,0,0,19,4,A,0,3,-2,2,A,-2,2,0,10,cleanP1_2021
571,P1,2021-04-30,21:15,Porto,Famalicao,3,2,H,1,1,D,10,9,4,3,5,4,18,19,1,3,0,0,21,4,H,3,0,1,5,D,0,2,10,30,cleanP1_2021
568,P1,2021-04-30,15:00,Pacos Ferreira,Belenenses,1,0,H,0,0,D,13,7,6,1,3,5,17,20,3,2,1,0,15,4,H,3,0,1,1,D,0,0,55,20,cleanP1_2021
569,P1,2021-04-30,17:00,Guimaraes,Moreirense,2,0,H,2,0,H,15,14,7,2,4,10,13,11,3,1,0,0,17,4,H,3,0,2,2,H,2,2,30,10,cleanP1_2021
574,P1,2021-05-01,18:00,Santa Clara,Boavista,3,3,D,1,1,D,15,10,6,5,5,4,18,15,3,2,0,0,18,5,D,1,1,0,6,D,0,2,30,20,cleanP1_2021
575,P1,2021-05-01,20:30,Sp Lisbon,Nacional,2,0,H,0,0,D,19,2,8,1,7,4,10,30,2,5,0,1,20,5,H,3,0,2,2,D,0,0,20,75,cleanP1_2021
572,P1,2021-05-01,15:30,Gil Vicente,Farense,0,0,D,0,0,D,11,11,3,3,5,4,15,18,3,2,0,0,15,5,D,1,1,0,0,D,0,0,30,20,cleanP1_2021
573,P1,2021-05-01,18:00,Portimonense,Rio Ave,0,0,D,0,0,D,6,11,1,2,6,10,21,10,2,0,0,0,18,5,D,1,1,0,0,D,0,0,20,0,cleanP1_2021
578,P1,2021-05-05,21:15,Rio Ave,Sp Lisbon,0,2,A,0,1,A,5,17,1,5,2,9,16,17,4,5,1,0,21,2,A,0,3,-2,2,A,-1,1,65,50,cleanP1_2021
576,P1,2021-05-05,19:00,Maritimo,Gil Vicente,0,1,A,0,1,A,9,8,2,5,9,3,16,24,7,3,0,0,19,2,A,0,3,-1,1,A,-1,1,70,30,cleanP1_2021
577,P1,2021-05-05,19:00,Sp Braga,Pacos Ferreira,1,1,D,0,1,A,11,13,3,1,7,5,13,16,1,3,0,0,19,2,D,1,1,0,2,A,-1,1,10,30,cleanP1_2021
579,P1,2021-05-06,15:00,Moreirense,Nacional,2,2,D,0,1,A,12,17,6,3,3,7,22,17,5,5,0,0,15,3,D,1,1,0,4,A,-1,1,50,50,cleanP1_2021
