,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
30,P1,2019-08-31,19:00,Sp Lisbon,Rio Ave,2,3,A,1,1,D,9,6,5,3,1,2,18,14,2,2,1,0,19,5,A,0,3,-1,5,D,0,2,45,20,cleanP1_1920
31,P1,2019-08-31,21:30,Gil Vicente,Setubal,0,0,D,0,0,D,15,8,2,3,7,6,16,18,3,6,0,0,21,5,D,1,1,0,0,D,0,0,30,60,cleanP1_1920
32,P1,2019-09-01,16:00,Tondela,Santa Clara,0,0,D,0,0,D,11,13,4,4,7,10,9,11,2,2,1,0,16,6,D,1,1,0,0,D,0,0,45,20,cleanP1_1920
33,P1,2019-09-01,18:30,Porto,Guimaraes,3,0,H,1,0,H,18,8,10,3,7,5,19,7,3,3,0,2,18,6,H,3,0,3,3,H,1,1,30,80,cleanP1_1920
34,P1,2019-09-01,21:00,Sp Braga,Benfica,0,4,A,0,1,A,11,12,2,6,4,5,10,16,2,1,0,0,21,6,A,0,3,-4,4,A,-1,1,20,10,cleanP1_1920
35,P1,2019-09-08,15:00,Rio Ave,Guimaraes,1,1,D,1,1,D,6,15,2,5,5,8,13,16,2,2,1,0,15,6,D,1,1,0,2,D,0,2,45,20,cleanP1_1920
36,P1,2019-09-13,20:30,Setubal,Sp Braga,1,0,H,0,0,D,7,22,4,6,1,7,13,11,1,4,0,1,20,4,H,3,0,1,1,D,0,0,10,65,cleanP1_1920
37,P1,2019-09-14,16:30,Famalicao,Pacos Ferreira,4,2,H,1,0,H,11,15,5,3,1,9,20,18,3,2,0,0,16,5,H,3,0,2,6,H,1,1,30,20,cleanP1_1920
38,P1,2019-09-14,19:00,Benfica,Gil Vicente,2,0,H,1,0,H,13,8,4,1,9,7,13,14,1,4,0,0,19,5,H,3,0,2,2,H,1,1,10,40,cleanP1_1920
39,P1,2019-09-14,21:30,Guimaraes,Aves,5,1,H,2,1,H,18,12,8,2,9,6,12,15,3,2,0,0,21,5,H,3,0,4,6,H,1,3,30,20,cleanP1_1920
41,P1,2019-09-15,16:00,Rio Ave,Tondela,2,4,A,1,2,A,23,5,6,4,8,0,15,18,2,3,0,0,16,6,A,0,3,-2,6,A,-1,3,20,30,cleanP1_1920
44,P1,2019-09-15,20:00,Boavista,Sp Lisbon,1,1,D,1,0,H,11,13,4,3,5,8,22,17,2,6,0,1,20,6,D,1,1,0,2,H,1,1,20,85,cleanP1_1920
43,P1,2019-09-15,18:00,Portimonense,Porto,2,3,A,0,2,A,8,21,4,6,1,10,10,14,1,1,0,1,18,6,A,0,3,-1,5,A,-2,2,10,35,cleanP1_1920
40,P1,2019-09-15,16:00,Maritimo,Belenenses,1,3,A,0,2,A,12,13,4,7,8,9,11,26,2,3,0,0,16,6,A,0,3,-2,4,A,-2,2,20,30,cleanP1_1920
42,P1,2019-09-15,16:00,Santa Clara,Moreirense,2,0,H,1,0,H,18,12,5,2,6,3,13,20,3,2,0,0,16,6,H,3,0,2,2,H,1,1,30,20,cleanP1_1920
45,P1,2019-09-20,20:30,Pacos Ferreira,Aves,2,1,H,0,1,A,15,8,2,3,9,2,24,13,5,3,1,0,20,4,H,3,0,1,3,A,-1,1,75,30,cleanP1_1920
46,P1,2019-09-21,18:00,Belenenses,Rio Ave,0,2,A,0,1,A,9,16,2,4,4,1,20,13,3,0,0,0,18,5,A,0,3,-2,2,A,-1,1,30,0,cleanP1_1920
47,P1,2019-09-21,20:30,Moreirense,Benfica,1,2,A,0,0,D,6,20,2,2,3,5,12,15,3,2,0,0,20,5,A,0,3,-1,3,D,0,0,30,20,cleanP1_1920
48,P1,2019-09-22,15:30,Gil Vicente,Boavista,0,0,D,0,0,D,15,4,6,0,10,4,18,19,5,2,0,1,15,6,D,1,1,0,0,D,0,0,50,45,cleanP1_1920
49,P1,2019-09-22,18:00,Setubal,Portimonense,0,0,D,0,0,D,7,7,3,1,4,2,17,9,3,0,0,0,18,6,D,1,1,0,0,D,0,0,30,0,cleanP1_1920
50,P1,2019-09-22,18:00,Tondela,Guimaraes,1,3,A,1,3,A,5,20,3,6,5,5,9,21,2,4,0,0,18,6,A,0,3,-2,4,A,-2,4,20,40,cleanP1_1920
51,P1,2019-09-22,20:30,Porto,Santa Clara,2,0,H,2,0,H,19,6,7,2,9,0,25,11,4,4,0,0,20,6,H,3,0,2,2,H,2,2,40,40,cleanP1_1920
52,P1,2019-09-23,19:00,Sp Braga,Maritimo,2,2,D,0,1,A,26,6,6,3,9,3,15,17,2,5,0,1,19,0,D,1,1,0,4,A,-1,1,20,75,cleanP1_1920
