league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2020-10-19,20:15,Boavista,Guimaraes,0,1,A,0,1,A,19,9,2,1,9,4,21,22,4,2,0,0,20,0,A,0,3,-1,1,A,-1,1,40,20
P1,2020-10-23,20:30,Tondela,Portimonense,1,0,H,1,0,H,8,10,3,4,5,6,10,18,2,2,0,0,20,4,H,3,0,1,1,H,1,1,20,20
P1,2020-10-24,15:30,Nacional,Pacos Ferreira,1,1,D,0,0,D,7,18,2,6,3,6,23,9,3,1,1,0,15,5,D,1,1,0,2,D,0,0,55,10
P1,2020-10-24,18:00,Santa Clara,Sp Lisbon,1,2,A,1,1,D,5,18,2,3,1,9,18,9,3,1,0,0,18,5,A,0,3,-1,3,D,0,2,30,10
P1,2020-10-24,20:30,Porto,Gil Vicente,1,0,H,1,0,H,18,13,7,2,8,3,17,15,6,2,1,0,20,5,H,3,0,1,1,H,1,1,85,20
P1,2020-10-25,15:00,Farense,Rio Ave,0,1,A,0,1,A,13,6,1,2,6,1,17,19,4,6,0,0,15,6,A,0,3,-1,1,A,-1,1,40,60
P1,2020-10-25,15:00,Moreirense,Maritimo,2,1,H,2,0,H,13,12,7,3,9,3,15,7,5,4,0,1,15,6,H,3,0,1,3,H,2,2,50,65
P1,2020-10-25,17:30,Famalicao,Boavista,2,2,D,0,0,D,17,10,6,6,9,1,10,20,3,5,0,1,17,6,D,1,1,0,4,D,0,0,30,75
P1,2020-10-25,20:00,Guimaraes,Sp Braga,0,1,A,0,1,A,11,16,1,8,4,9,11,20,3,2,1,2,20,6,A,0,3,-1,1,A,-1,1,55,70
P1,2020-10-26,20:15,Benfica,Belenenses,2,0,H,1,0,H,15,6,6,2,7,2,15,8,0,0,0,0,20,0,H,3,0,2,2,H,1,1,0,0
P1,2020-10-28,21:45,Sp Lisbon,Gil Vicente,3,1,H,0,0,D,13,4,6,1,9,4,15,19,5,4,0,0,21,2,H,3,0,2,4,D,0,0,50,40
P1,2020-10-30,20:30,Pacos Ferreira,Porto,3,2,H,2,1,H,16,10,7,3,5,4,22,20,1,1,0,0,20,4,H,3,0,1,5,H,1,3,10,10
P1,2020-10-31,15:30,Belenenses,Farense,1,1,D,0,0,D,7,10,3,2,8,6,15,12,3,0,0,1,15,5,D,1,1,0,2,D,0,0,30,25
P1,2020-10-31,18:00,Rio Ave,Moreirense,2,0,H,1,0,H,11,7,6,1,3,5,20,18,1,4,0,0,18,5,H,3,0,2,2,H,1,1,10,40
P1,2020-10-31,20:30,Maritimo,Nacional,0,0,D,0,0,D,15,9,4,3,3,6,20,24,1,3,0,0,20,5,D,1,1,0,0,D,0,0,10,30
P1,2020-11-01,15:00,Portimonense,Santa Clara,1,2,A,0,1,A,12,13,2,7,7,5,21,13,3,6,0,0,15,6,A,0,3,-1,3,A,-1,1,30,60
P1,2020-11-01,17:30,Gil Vicente,Guimaraes,1,2,A,0,1,A,21,7,4,5,8,4,14,11,1,2,0,0,17,6,A,0,3,-1,3,A,-1,1,10,20
P1,2020-11-01,20:00,Sp Lisbon,Tondela,4,0,H,1,0,H,26,3,15,0,8,1,14,20,3,2,0,0,20,6,H,3,0,4,4,H,1,1,30,20
P1,2020-11-02,18:45,Sp Braga,Famalicao,1,0,H,0,0,D,20,5,9,2,11,2,14,14,1,5,0,1,18,0,H,3,0,1,1,D,0,0,10,75
P1,2020-11-02,21:00,Boavista,Benfica,3,0,H,2,0,H,14,5,7,2,4,6,31,15,3,4,0,0,21,0,H,3,0,3,3,H,2,2,30,40
P1,2020-11-06,20:30,Belenenses,Rio Ave,0,0,D,0,0,D,11,6,1,2,6,2,17,17,2,2,0,0,20,4,D,1,1,0,0,D,0,0,20,20
P1,2020-11-07,15:00,Tondela,Santa Clara,2,0,H,1,0,H,11,20,5,4,3,3,19,13,2,3,0,0,15,5,H,3,0,2,2,H,1,1,20,30
P1,2020-11-07,18:00,Famalicao,Maritimo,2,1,H,2,1,H,18,10,8,4,4,2,18,18,3,2,0,0,18,5,H,3,0,1,3,H,1,3,30,20
P1,2020-11-07,20:30,Guimaraes,Sp Lisbon,0,4,A,0,2,A,15,16,1,6,5,2,16,18,3,1,0,0,20,5,A,0,3,-4,4,A,-2,2,30,10
P1,2020-11-08,15:00,Farense,Boavista,3,1,H,1,1,D,6,13,5,5,5,7,20,15,4,1,0,0,15,6,H,3,0,2,4,D,0,2,40,10
P1,2020-11-08,15:00,Nacional,Gil Vicente,2,1,H,0,1,A,13,10,6,8,8,11,17,20,1,4,0,0,15,6,H,3,0,1,3,A,-1,1,10,40
P1,2020-11-08,17:30,Porto,Portimonense,3,1,H,1,1,D,18,8,7,1,11,4,15,21,3,3,0,0,17,6,H,3,0,2,4,D,0,2,30,30
P1,2020-11-08,20:00,Benfica,Sp Braga,2,3,A,0,1,A,12,7,5,5,5,3,13,13,1,3,0,0,20,6,A,0,3,-1,5,A,-1,1,10,30
P1,2020-11-27,19:00,Pacos Ferreira,Famalicao,2,0,H,1,0,H,11,9,4,1,3,3,22,17,4,4,0,0,19,4,H,3,0,2,2,H,1,1,40,40
P1,2020-11-27,21:00,Tondela,Guimaraes,0,2,A,0,0,D,13,10,4,5,5,2,14,15,1,2,1,0,21,4,A,0,3,-2,2,D,0,0,35,20
P1,2020-11-28,18:00,Santa Clara,Porto,0,1,A,0,1,A,7,4,2,2,2,7,12,14,2,1,0,0,18,5,A,0,3,-1,1,A,-1,1,20,10
P1,2020-11-28,20:30,Sp Lisbon,Moreirense,2,1,H,1,1,D,13,2,5,0,9,0,17,13,1,2,0,0,20,5,H,3,0,1,3,D,0,2,10,20
P1,2020-11-29,15:00,Gil Vicente,Rio Ave,2,0,H,1,0,H,4,12,2,3,2,8,19,10,1,1,0,0,15,6,H,3,0,2,2,H,1,1,10,10
P1,2020-11-29,15:00,Portimonense,Nacional,1,0,H,0,0,D,14,12,4,1,7,3,17,10,3,2,0,1,15,6,H,3,0,1,1,D,0,0,30,45
P1,2020-11-29,17:30,Boavista,Belenenses,0,0,D,0,0,D,15,14,6,4,4,7,6,11,1,4,0,0,17,6,D,1,1,0,0,D,0,0,10,40
P1,2020-11-29,20:00,Sp Braga,Farense,1,0,H,0,0,D,16,6,7,0,7,3,19,17,3,3,0,0,20,6,H,3,0,1,1,D,0,0,30,30
P1,2020-11-30,19:00,Maritimo,Benfica,1,2,A,1,1,D,5,12,2,2,1,12,21,9,0,1,0,0,19,0,A,0,3,-1,3,D,0,2,0,10
P1,2020-12-01,21:45,Moreirense,Pacos Ferreira,0,1,A,0,1,A,10,12,2,4,2,2,18,26,1,0,0,0,21,1,A,0,3,-1,1,A,-1,1,10,0
